Date,AOD,RD, Difference
171026,0.455,9.82,7.89
171028,0.785,19.07,-0.35
171104,0.295,9.25,9.25
171111,0.445,12.18,-0.7
171113,0.485,20.26,-0.38
171122,0.385,9.56,9.52
171123,0.525,9.96,9.93
171127,0.455,9.6,9.6
171128,0.375,9.79,9.13
171201,0.795,23.09,-0.78
171206,0.805,24.9,0.12
171211,0.355,9.33,9.29
171213,0.705,9.7,6.13
180107,0.385,9.81,9.08
180110,0.625,9.54,9.28
180112,0.515,9.73,9.08
180114,0.505,9.79,9.79
180115,0.685,9.92,9.91
