Date,AOD,RD, Difference
170402,0.205,9.65,9.65
170731,0.085,9.96,9.96
170912,0.805,48.6,47.55
171026,0.285,9.91,9.91
171027,0.495,9.56,8.58
171107,0.255,9.45,9.45
171111,0.325,9.89,6.99
171113,0.445,21.88,-0.48
171201,0.465,9.86,5.69
