1054dcabina4cara
Integration time [ms]:  39.939
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 3
Data measured with spectrometer [name]: 0905077U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 255.07;   94.088;    0.681;   35.583
 255.24;   93.582;    0.855;   34.681
 255.40;   96.110;    3.233;   34.336
 255.57;   92.176;    2.512;   33.005
 255.74;   88.154;    1.995;   30.955
 255.91;   87.736;    0.893;   31.176
 256.08;   89.385;    0.967;   31.612
 256.24;   88.396;    0.874;   33.014
 256.41;   89.736;    1.557;   34.088
 256.58;   89.758;   -0.193;   34.919
 256.75;   94.527;    0.662;   35.679
 256.92;   98.022;    1.121;   37.243
 257.08;   95.538;    2.176;   36.755
 257.25;   94.198;    0.331;   36.786
 257.42;   92.813;    0.538;   35.660
 257.59;   89.187;   -0.974;   35.624
 257.75;   85.341;   -2.081;   35.631
 257.92;   80.659;   -3.279;   35.300
 258.09;   78.220;   -3.281;   35.279
 258.26;   78.725;   -2.907;   35.500
 258.43;   78.659;   -0.586;   35.526
 258.59;   80.308;   -0.698;   35.729
 258.76;   81.429;   -0.186;   34.326
 258.93;   84.571;    0.731;   34.814
 259.10;   87.055;    0.957;   35.288
 259.27;   90.286;    1.417;   34.529
 259.43;   95.055;    0.614;   33.117
 259.60;   97.538;   -0.421;   32.443
 259.77;   94.703;   -1.405;   32.307
 259.94;   95.692;   -2.193;   34.033
 260.11;   93.736;   -1.119;   33.564
 260.27;   93.407;   -1.174;   32.957
 260.44;   93.429;    0.224;   32.469
 260.61;   90.286;    0.245;   34.243
 260.78;   89.736;    0.348;   35.107
 260.94;   94.505;    0.940;   36.367
 261.11;   96.330;    2.786;   35.221
 261.28;   95.209;    2.360;   35.348
 261.45;   95.011;    2.671;   35.021
 261.62;   98.330;    2.379;   36.100
 261.78;  100.857;    3.043;   36.174
 261.95;  100.000;    3.436;   36.100
 262.12;   96.286;    3.443;   35.831
 262.29;   94.637;    1.398;   36.729
 262.45;   98.527;    1.290;   37.421
 262.62;  103.297;    1.398;   39.100
 262.79;   97.560;    0.395;   39.060
 262.96;   96.703;   -0.345;   38.881
 263.13;   97.648;   -0.805;   37.536
 263.29;   99.604;   -1.336;   37.443
 263.46;  100.022;   -0.271;   37.202
 263.63;   97.670;    0.388;   35.852
 263.80;   93.297;    0.424;   34.926
 263.96;   93.011;    0.188;   35.014
 264.13;   93.604;    0.557;   34.050
 264.30;   94.198;   -0.964;   34.719
 264.47;   94.176;   -0.167;   35.650
 264.63;   96.615;    0.769;   35.357
 264.80;   96.110;   -0.138;   35.764
 264.97;   93.846;   -0.317;   36.929
 265.14;   92.418;    1.167;   37.364
 265.31;   90.945;    1.169;   39.157
 265.47;   91.055;    2.605;   39.926
 265.64;   90.813;    0.921;   38.967
 265.81;   86.659;    0.414;   38.869
 265.98;   86.286;    0.302;   38.433
 266.14;   87.055;    1.081;   37.212
 266.31;   89.187;    0.121;   37.319
 266.48;   86.308;   -0.938;   35.974
 266.65;   86.242;   -0.660;   34.624
 266.81;   83.319;    2.024;   34.917
 266.98;   89.055;    2.398;   35.262
 267.15;   90.923;    1.729;   36.212
 267.32;   90.725;    0.521;   36.748
 267.48;   94.132;   -0.300;   35.726
 267.65;   94.022;   -0.060;   35.776
 267.82;   91.802;   -0.748;   36.640
 267.99;   93.011;   -1.345;   37.348
 268.15;   88.066;   -2.776;   37.421
 268.32;   87.121;   -2.374;   37.100
 268.49;   87.670;   -1.243;   36.098
 268.66;   87.165;   -0.717;   35.910
 268.82;   89.033;   -0.186;   35.869
 268.99;   90.198;   -0.431;   37.043
 269.16;   93.253;   -1.348;   36.298
 269.33;   95.033;   -1.212;   36.529
 269.49;   96.066;   -1.681;   36.031
 269.66;   97.582;   -2.279;   37.481
 269.83;   94.264;   -1.890;   37.917
 270.00;   90.989;   -2.612;   38.214
 270.16;   91.978;   -2.300;   37.507
 270.33;   91.824;   -2.450;   38.662
 270.50;   91.187;   -2.424;   38.079
 270.67;   90.725;   -1.469;   39.652
 270.83;   94.527;   -0.443;   39.260
 271.00;   95.868;   -1.069;   39.843
 271.17;  101.824;   -0.586;   39.745
 271.34;  102.198;   -0.221;   38.186
 271.50;   98.220;   -0.224;   36.536
 271.67;   98.242;   -0.098;   37.462
 271.84;   97.341;    0.367;   36.707
 272.01;   91.121;   -0.917;   36.186
 272.17;   94.044;    0.605;   36.107
 272.34;   91.121;    0.045;   35.919
 272.51;   89.429;    0.471;   37.336
 272.68;   88.923;    0.569;   38.976
 272.84;   89.297;    1.805;   38.021
 273.01;   90.901;    0.874;   37.500
 273.18;   92.066;    2.576;   37.031
 273.35;   89.538;    1.712;   37.357
 273.51;   90.527;    2.395;   37.783
 273.68;   87.692;    2.112;   38.690
 273.85;   89.429;    2.348;   38.593
 274.02;   87.736;    0.950;   38.805
 274.18;   84.374;    2.100;   40.783
 274.35;   84.703;    0.055;   42.024
 274.52;   84.154;   -0.776;   40.821
 274.69;   81.011;   -1.783;   42.176
 274.85;   82.220;   -1.871;   41.831
 275.02;   83.692;   -2.669;   41.881
 275.19;   83.758;   -1.805;   42.098
 275.35;   86.989;   -3.088;   41.424
 275.52;   88.198;   -2.452;   40.840
 275.69;   88.967;   -2.783;   41.100
 275.86;   89.385;   -1.776;   39.307
 276.02;   90.725;   -2.288;   39.148
 276.19;   90.615;   -1.986;   37.679
 276.36;   93.934;   -2.345;   38.481
 276.53;   96.374;   -0.395;   38.555
 276.69;   93.670;   -0.964;   38.186
 276.86;   93.560;    0.805;   37.555
 277.03;   92.396;    1.017;   37.462
 277.19;   89.516;    2.186;   37.231
 277.36;   89.231;    1.560;   37.976
 277.53;   86.220;    1.529;   36.898
 277.70;   86.286;   -0.660;   36.767
 277.86;   87.187;   -0.062;   36.631
 278.03;   89.890;   -1.631;   38.900
 278.20;   91.670;   -2.681;   38.383
 278.37;   93.143;   -3.793;   38.338
 278.53;   92.505;   -3.176;   38.021
 278.70;   91.516;   -3.450;   38.433
 278.87;   86.571;   -2.690;   36.345
 279.03;   84.440;   -3.888;   37.138
 279.20;   79.495;   -2.157;   35.907
 279.37;   78.813;   -1.993;   37.462
 279.54;   79.011;   -1.900;   38.488
 279.70;   79.385;   -1.355;   39.976
 279.87;   82.176;   -0.910;   39.650
 280.04;   84.615;   -0.840;   41.205
 280.20;   86.396;    0.033;   42.555
 280.37;   92.967;   -1.936;   43.129
 280.54;   94.308;   -0.586;   42.202
 280.71;   92.220;   -0.650;   40.671
 280.87;   91.626;   -0.767;   39.355
 281.04;   89.626;   -0.831;   39.310
 281.21;   91.187;   -0.214;   39.136
 281.37;   88.747;   -0.060;   38.471
 281.54;   82.000;    0.700;   37.345
 281.71;   82.989;   -0.507;   37.910
 281.88;   84.330;    0.824;   40.174
 282.04;   84.835;    1.598;   41.005
 282.21;   84.374;    1.414;   41.831
 282.38;   84.044;   -0.079;   42.814
 282.54;   84.901;    0.081;   41.964
 282.71;   84.352;    0.579;   44.262
 282.88;   82.615;    1.262;   43.460
 283.04;   85.011;   -0.269;   41.281
 283.21;   85.736;   -0.167;   40.764
 283.38;   84.879;    0.407;   41.510
 283.55;   85.648;    2.033;   42.136
 283.71;   90.549;    1.531;   43.367
 283.88;   93.165;    0.443;   42.136
 284.05;   91.912;   -0.412;   44.243
 284.21;   92.198;   -0.138;   44.879
 284.38;   90.901;   -1.402;   45.757
 284.55;   94.000;   -3.243;   45.298
 284.72;   93.099;   -4.136;   44.871
 284.88;  105.692;   -2.605;   46.212
 285.05;  106.330;   -2.193;   47.919
 285.22;  112.066;   -0.976;   48.174
 285.38;  113.231;   -1.974;   49.157
 285.55;  110.879;   -1.814;   49.640
 285.72;  112.044;   -1.040;   51.395
 285.88;  105.429;   -0.690;   52.269
 286.05;   86.813;   -1.040;   50.900
 286.22;   88.022;   -1.138;   49.374
 286.38;   83.253;   -0.917;   49.890
 286.55;   82.132;    1.195;   49.174
 286.72;   83.297;    1.883;   49.271
 286.89;   82.264;    2.443;   48.888
 287.05;   85.802;    1.674;   48.852
 287.22;   88.505;    2.167;   50.745
 287.39;   86.989;    2.979;   53.214
 287.55;   89.912;    3.700;   53.640
 287.72;   87.516;    3.150;   55.995
 287.89;   88.725;    3.167;   56.088
 288.05;   88.879;    2.969;   57.529
 288.22;   90.484;    3.500;   58.183
 288.39;   87.692;    2.160;   58.271
 288.55;   86.396;    1.367;   57.726
 288.72;   84.879;    0.055;   58.767
 288.89;   84.286;   -0.710;   57.631
 289.05;   84.000;   -1.631;   60.081
 289.22;   80.022;   -1.443;   60.612
 289.39;   79.077;   -1.412;   62.148
 289.56;   81.648;   -1.681;   62.298
 289.72;   77.934;   -0.631;   64.271
 289.89;   78.264;   -0.062;   64.774
 290.06;   81.714;    1.226;   68.586
 290.22;   82.308;    1.795;   69.545
 290.39;   83.956;    1.798;   70.652
 290.56;   82.176;    2.529;   71.488
 290.72;   82.154;    1.969;   73.624
 290.89;   85.912;    1.157;   75.755
 291.06;   87.077;   -0.240;   77.929
 291.22;   85.297;   -0.833;   79.898
 291.39;   84.088;    0.417;   82.471
 291.56;   85.516;    0.748;   85.574
 291.72;   89.319;    1.102;   89.824
 291.89;   87.846;    2.671;   94.279
 292.06;   89.802;    1.940;   97.538
 292.22;   86.703;    3.395;  100.612
 292.39;   88.835;    2.512;  104.500
 292.56;   89.121;    0.738;  107.345
 292.72;   85.890;    0.121;  109.319
 292.89;   82.747;   -1.138;  112.498
 293.06;   86.593;   -1.412;  115.443
 293.22;   85.077;   -0.062;  119.393
 293.39;   86.110;   -0.260;  124.671
 293.56;   87.451;    0.300;  126.517
 293.72;   87.604;    1.369;  131.976
 293.89;   85.604;    2.119;  137.212
 294.06;   89.582;    1.988;  142.119
 294.22;   89.824;    1.576;  147.383
 294.39;   91.516;   -0.240;  152.405
 294.56;   93.868;   -0.890;  156.221
 294.72;   90.462;    0.302;  162.643
 294.89;   91.363;    0.862;  167.202
 295.06;   94.725;    0.198;  174.471
 295.22;   92.374;    1.405;  178.869
 295.39;   87.736;    1.817;  185.643
 295.56;   84.110;    3.071;  191.745
 295.72;   80.396;    3.740;  199.043
 295.89;   83.143;    2.786;  205.479
 296.06;   82.593;    1.702;  212.510
 296.22;   79.934;    3.690;  220.688
 296.39;   79.429;    2.302;  229.957
 296.56;   84.374;    1.424;  238.621
 296.72;   86.198;   -0.326;  248.110
 296.89;   88.681;   -1.786;  257.679
 297.06;   83.253;   -1.974;  270.481
 297.22;   83.231;   -2.614;  281.955
 297.39;   83.648;   -3.355;  290.557
 297.56;   85.473;   -2.843;  300.964
 297.72;   83.516;   -2.307;  312.481
 297.89;   83.363;    0.224;  322.821
 298.06;   81.670;    0.940;  337.014
 298.22;   84.725;    1.624;  347.964
 298.39;   84.484;    1.655;  361.719
 298.56;   84.945;    0.567;  375.098
 298.72;   80.220;   -0.621;  390.214
 298.89;   80.593;   -0.290;  404.012
 299.05;   80.000;   -0.936;  421.595
 299.22;   77.429;   -0.138;  436.174
 299.39;   76.176;   -1.126;  454.748
 299.55;   75.363;    0.890;  471.536
 299.72;   77.187;    0.407;  493.710
 299.89;   78.527;    2.548;  512.945
 300.05;   75.253;    2.131;  533.310
 300.22;   76.505;    2.043;  552.774
 300.39;   79.473;    1.464;  575.633
 300.55;   82.000;    2.119;  596.840
 300.72;   83.912;    1.807;  620.757
 300.89;   87.890;    2.490;  642.993
 301.05;   86.945;    1.721;  668.910
 301.22;   88.857;    1.700;  694.126
 301.38;   87.429;    1.331;  721.929
 301.55;   86.044;    0.919;  747.374
 301.72;   84.659;    1.502;  777.757
 301.88;   82.835;    0.071;  805.793
 302.05;   81.890;   -0.145;  837.433
 302.22;   82.220;   -0.586;  866.545
 302.38;   83.253;   -1.145;  899.233
 302.55;   86.088;    0.081;  930.564
 302.72;   89.363;   -0.640;  966.224
 302.88;   92.330;   -1.814; 1000.755
 303.05;   93.758;   -2.079; 1038.633
 303.21;   92.901;   -1.986; 1073.450
 303.38;   96.352;   -2.421; 1116.367
 303.55;   94.308;   -1.129; 1154.431
 303.71;   89.846;   -2.621; 1197.443
 303.88;   91.934;   -2.462; 1237.288
 304.05;   87.692;   -2.793; 1280.433
 304.21;   84.198;   -1.890; 1319.831
 304.38;   82.857;   -2.326; 1368.605
 304.55;   80.593;   -1.929; 1408.745
 304.71;   80.879;   -2.555; 1458.786
 304.88;   87.099;   -1.119; 1506.821
 305.04;   81.407;   -0.183; 1563.548
 305.21;   79.626;   -0.176; 1614.898
 305.38;   82.681;   -0.669; 1674.957
 305.54;   79.363;   -1.157; 1723.383
 305.71;   80.220;   -1.021; 1789.519
 305.88;   81.824;    1.100; 1845.355
 306.04;   80.352;    0.998; 1907.624
 306.21;   82.264;    0.662; 1964.583
 306.37;   83.780;    1.036; 2025.443
 306.54;   85.209;    0.690; 2088.659
 306.71;   84.703;    1.169; 2158.709
 306.87;   87.407;    2.538; 2217.593
 307.04;   84.571;    0.474; 2294.081
 307.20;   82.527;    1.395; 2357.345
 307.37;   84.791;    1.655; 2430.081
 307.54;   84.593;    2.557; 2497.317
 307.70;   85.363;    3.483; 2570.738
 307.87;   91.758;    4.824; 2638.440
 308.04;   87.868;    3.074; 2717.072
 308.20;   88.066;    2.424; 2783.212
 308.37;   88.264;    0.950; 2867.719
 308.53;   85.824;    2.014; 2942.288
 308.70;   85.978;    1.683; 3029.357
 308.87;   79.802;    0.567; 3105.802
 309.03;   78.462;   -1.602; 3197.281
 309.20;   77.956;   -2.062; 3278.688
 309.36;   77.231;   -1.593; 3371.576
 309.53;   77.868;   -1.852; 3449.764
 309.70;   80.835;   -2.240; 3544.795
 309.86;   85.297;   -2.052; 3629.517
 310.03;   88.396;   -3.212; 3726.595
 310.20;   86.176;   -1.300; 3810.545
 310.36;   86.593;   -0.869; 3908.357
 310.53;   87.407;    0.490; 3987.621
 310.69;   86.769;    0.750; 4085.471
 310.86;   83.538;    0.633; 4178.688
 311.03;   78.418;   -0.260; 4290.252
 311.19;   77.473;    1.481; 4370.574
 311.36;   78.418;   -0.298; 4474.709
 311.52;   81.385;    0.557; 4558.498
 311.69;   82.198;   -0.812; 4667.967
 311.86;   83.802;   -0.757; 4769.098
 312.02;   84.176;   -1.155; 4873.986
 312.19;   88.681;   -1.290; 4953.755
 312.35;   92.967;   -2.698; 5075.833
 312.52;   93.868;   -0.643; 5168.440
 312.69;   93.011;   -1.231; 5282.033
 312.85;   95.231;    0.738; 5372.021
 313.02;   91.956;   -0.879; 5477.767
 313.18;   91.802;   -1.090; 5558.060
 313.35;   90.242;   -1.060; 5663.300
 313.52;   86.264;    0.967; 5733.650
 313.68;   83.121;    1.055; 5842.719
 313.85;   81.780;    1.110; 5916.240
 314.01;   81.626;   -0.679; 6012.291
 314.18;   80.462;    0.557; 6082.907
 314.35;   81.934;    0.645; 6187.252
 314.51;   79.890;    2.319; 6265.660
 314.68;   80.264;    3.283; 6366.776
 314.84;   80.945;    1.719; 6448.421
 315.01;   81.143;    2.245; 6559.786
 315.17;   78.440;    2.243; 6633.517
 315.34;   82.637;    2.960; 6744.671
 315.51;   80.505;    2.652; 6820.164
 315.67;   80.044;    1.807; 6915.805
 315.84;   80.901;    1.167; 6986.574
 316.00;   81.495;    1.064; 7070.300
 316.17;   83.451;    0.986; 7133.212
 316.34;   84.132;    0.826; 7230.395
 316.50;   84.154;    0.300; 7292.736
 316.67;   84.176;    1.645; 7370.176
 316.83;   84.813;    2.529; 7431.688
 317.00;   86.022;    1.950; 7508.300
 317.17;   83.714;    1.929; 7559.755
 317.33;   82.813;    1.769; 7633.262
 317.50;   83.802;    2.005; 7680.088
 317.66;   82.286;    2.607; 7739.071
 317.83;   84.374;    1.290; 7776.307
 317.99;   85.451;    0.112; 7843.500
 318.16;   79.363;    0.329; 7894.107
 318.33;   82.857;    1.064; 7945.424
 318.49;   84.857;    1.005; 7982.307
 318.66;   81.758;    0.874; 8030.891
 318.82;   83.363;    0.567; 8053.955
 318.99;   82.681;    0.960; 8118.024
 319.15;   83.978;    0.862; 8135.726
 319.32;   89.275;    0.607; 8179.843
 319.49;   88.637;    0.567; 8204.765
 319.65;   88.352;    0.140; 8247.396
 319.82;   93.385;    0.957; 8276.031
 319.98;   94.813;    1.331; 8325.300
 320.15;   96.593;    2.214; 8316.936
 320.31;   95.956;    2.540; 8360.376
 320.48;   99.099;    2.862; 8367.688
 320.65;   98.198;    2.674; 8406.091
 320.81;   97.297;    2.462; 8405.069
 320.98;   98.066;    1.779; 8435.967
 321.14;   95.055;    2.024; 8422.088
 321.31;   96.396;    0.436; 8448.947
 321.47;   97.473;    0.652; 8429.154
 321.64;   92.967;   -0.879; 8434.919
 321.81;   97.297;    0.043; 8421.498
 321.97;   94.637;   -0.031; 8432.891
 322.14;   93.429;    0.500; 8416.422
 322.30;   94.022;   -0.717; 8415.748
 322.47;   93.165;    0.957; 8385.517
 322.63;   92.440;    0.207; 8388.091
 322.80;   95.846;    0.252; 8364.869
 322.97;   89.275;   -0.317; 8350.472
 323.13;   90.000;    0.005; 8299.974
 323.30;   92.176;   -0.974; 8276.929
 323.46;   94.703;   -0.033; 8247.431
 323.63;   89.538;   -1.402; 8249.520
 323.79;   89.253;   -1.881; 8216.270
 323.96;   87.385;   -1.212; 8218.205
 324.12;   95.143;   -1.224; 8187.288
 324.29;   98.022;   -2.145; 8187.167
 324.46;   95.626;   -0.805; 8166.469
 324.62;   94.330;   -1.564; 8151.748
 324.79;   99.407;   -0.033; 8113.145
 324.95;  101.495;    0.369; 8097.452
 325.12;  106.703;    0.557; 8042.755
 325.28;  108.527;    0.169; 8010.014
 325.45;  111.055;    0.452; 7962.783
 325.61;  112.484;   -0.726; 7921.967
 325.78;  115.011;   -0.548; 7876.374
 325.95;  111.692;   -1.726; 7852.881
 326.11;  116.418;   -1.062; 7800.060
 326.28;  112.791;   -1.069; 7768.071
 326.44;  109.473;   -1.814; 7733.726
 326.61;  104.747;   -0.783; 7697.757
 326.77;  101.956;   -0.519; 7647.574
 326.94;  101.187;   -1.574; 7624.262
 327.10;  108.505;   -0.748; 7579.679
 327.27;  102.725;   -0.812; 7539.233
 327.43;  107.363;   -2.005; 7502.240
 327.60;  107.956;   -1.736; 7466.938
 327.77;  113.253;   -2.033; 7424.402
 327.93;  116.703;   -2.498; 7397.595
 328.10;  115.099;   -1.500; 7338.364
 328.26;  111.429;   -3.383; 7296.319
 328.43;  114.440;   -3.110; 7252.336
 328.59;  113.231;   -2.050; 7205.167
 328.76;  116.022;   -1.805; 7154.888
 328.92;  115.033;   -3.231; 7136.862
 329.09;  116.462;   -2.643; 7085.517
 329.25;  121.802;   -2.240; 7059.138
 329.42;  129.209;   -0.986; 7015.031
 329.58;  133.670;   -2.421; 7001.671
 329.75;  135.978;   -2.510; 6966.983
 329.92;  137.451;   -2.488; 6944.376
 330.08;  135.407;   -0.738; 6895.878
 330.25;  139.341;    0.074; 6880.224
 330.41;  138.220;    1.490; 6845.536
 330.58;  136.923;    0.950; 6811.071
 330.74;  133.297;    2.443; 6757.536
 330.91;  133.978;    2.540; 6730.481
 331.07;  132.593;    3.014; 6686.974
 331.24;  137.582;    2.512; 6647.967
 331.40;  138.527;    2.033; 6596.212
 331.57;  141.407;   -0.126; 6564.510
 331.73;  141.824;    0.138; 6523.393
 331.90;  147.209;   -0.117; 6490.195
 332.06;  151.495;    0.129; 6441.536
 332.23;  156.571;    0.769; 6410.109
 332.39;  158.527;    2.233; 6371.383
 332.56;  157.187;    1.302; 6341.119
 332.72;  160.198;    2.205; 6300.231
 332.89;  164.659;    1.931; 6276.395
 333.06;  167.187;    2.243; 6230.926
 333.22;  171.385;    2.017; 6203.167
 333.39;  174.396;    1.948; 6160.164
 333.55;  181.714;    0.198; 6138.757
 333.72;  190.659;    0.386; 6092.507
 333.88;  196.747;   -0.088; 6072.147
 334.05;  201.868;   -0.319; 6022.679
 334.21;  205.231;   -0.212; 6019.214
 334.38;  209.648;    0.348; 5992.060
 334.54;  216.088;   -0.079; 5973.681
 334.71;  219.582;    0.690; 5934.459
 334.87;  220.484;    0.179; 5928.233
 335.04;  221.209;    0.510; 5883.060
 335.20;  220.088;    1.274; 5871.262
 335.37;  223.626;    0.310; 5819.164
 335.53;  224.967;   -0.498; 5796.052
 335.70;  223.275;   -0.719; 5758.469
 335.86;  221.495;   -0.955; 5742.767
 336.03;  223.538;   -0.938; 5698.774
 336.19;  224.440;   -1.555; 5683.052
 336.36;  231.099;   -1.186; 5660.479
 336.52;  233.363;   -1.660; 5648.595
 336.69;  238.879;   -1.319; 5610.145
 336.85;  248.088;   -1.260; 5598.671
 337.02;  261.473;   -0.776; 5560.107
 337.18;  274.198;    1.150; 5547.043
 337.35;  286.659;    0.700; 5514.136
 337.51;  297.319;   -0.021; 5495.929
 337.68;  306.835;    0.986; 5471.517
 337.84;  315.341;    1.455; 5459.395
 338.01;  324.681;    0.767; 5429.650
 338.17;  329.319;    0.217; 5424.414
 338.34;  335.670;   -0.957; 5406.440
 338.50;  345.011;   -0.526; 5401.757
 338.67;  355.275;    0.224; 5381.364
 338.83;  371.824;    0.645; 5376.138
 339.00;  384.681;   -0.910; 5348.907
 339.16;  400.044;    0.207; 5342.814
 339.33;  416.418;    0.062; 5318.336
 339.49;  432.484;    0.550; 5302.319
 339.66;  442.967;    0.690; 5280.364
 339.82;  456.967;    1.007; 5260.748
 339.99;  466.308;    0.471; 5238.193
 340.15;  473.363;    1.093; 5235.709
 340.32;  474.659;    1.595; 5205.850
 340.48;  480.264;    2.312; 5212.062
 340.65;  485.516;    2.805; 5195.717
 340.81;  499.956;    2.988; 5195.005
 340.98;  501.824;    2.757; 5179.526
 341.14;  510.813;    1.302; 5171.872
 341.31;  525.560;    2.243; 5154.707
 341.47;  545.187;    1.407; 5151.548
 341.64;  561.560;    1.376; 5124.117
 341.80;  581.714;    0.026; 5122.471
 341.97;  591.451;   -0.157; 5097.831
 342.13;  612.176;   -1.364; 5091.576
 342.30;  626.879;   -0.319; 5067.897
 342.46;  641.758;   -1.345; 5063.729
 342.63;  651.934;   -1.443; 5048.307
 342.79;  655.473;   -1.021; 5041.900
 342.96;  650.527;   -0.481; 5023.593
 343.12;  648.308;   -0.221; 5019.052
 343.29;  638.264;   -0.176; 5016.288
 343.45;  632.308;    0.398; 5016.719
 343.62;  622.791;    2.052; 5008.517
 343.78;  622.418;    1.712; 5010.872
 343.95;  628.593;    0.748; 4995.164
 344.11;  653.538;    0.093; 4997.681
 344.28;  684.418;    1.062; 4983.345
 344.44;  718.154;    0.931; 4974.662
 344.61;  744.593;    0.252; 4961.897
 344.77;  771.473;   -0.126; 4958.214
 344.93;  794.132;    0.433; 4947.202
 345.10;  816.044;    0.302; 4950.271
 345.26;  824.066;    1.329; 4937.517
 345.43;  830.242;   -1.250; 4943.786
 345.59;  840.418;   -0.062; 4935.231
 345.76;  861.319;   -0.469; 4929.738
 345.92;  881.912;   -0.329; 4913.031
 346.09;  901.890;   -1.307; 4917.100
 346.25;  922.527;   -1.129; 4907.136
 346.42;  939.253;   -1.764; 4898.262
 346.58;  959.275;   -0.214; 4901.117
 346.75;  969.846;   -1.926; 4905.872
 346.91;  973.209;   -1.986; 4913.145
 347.08;  982.286;   -2.879; 4923.252
 347.24;  989.473;   -0.729; 4907.536
 347.41; 1000.352;   -0.507; 4914.919
 347.57; 1017.516;   -0.586; 4917.526
 347.74; 1030.989;    0.083; 4911.500
 347.90; 1044.857;    0.995; 4898.060
 348.06; 1062.813;    1.674; 4889.452
 348.23; 1074.440;    1.319; 4886.393
 348.39; 1087.824;   -0.202; 4893.843
 348.56; 1099.846;    0.690; 4882.136
 348.72; 1113.187;    0.550; 4887.186
 348.89; 1138.615;    0.414; 4879.736
 349.05; 1175.868;   -0.612; 4884.891
 349.22; 1212.198;   -0.262; 4879.936
 349.38; 1271.429;    0.712; 4883.071
 349.55; 1322.571;    0.881; 4872.336
 349.71; 1373.846;   -0.545; 4885.291
 349.88; 1419.451;   -1.310; 4878.069
 350.04; 1446.681;   -3.193; 4884.776
 350.20; 1461.473;   -1.786; 4883.440
 350.37; 1473.582;   -0.669; 4893.748
 350.53; 1467.626;   -0.862; 4890.479
 350.70; 1466.637;   -1.164; 4900.510
 350.86; 1462.615;    0.024; 4892.041
 351.03; 1462.374;    1.826; 4901.281
 351.19; 1459.978;    3.576; 4890.240
 351.36; 1466.462;    2.950; 4909.671
 351.52; 1468.945;    0.586; 4906.679
 351.68; 1468.440;   -0.479; 4917.891
 351.85; 1472.813;   -0.614; 4917.498
 352.01; 1486.198;   -1.488; 4931.043
 352.18; 1512.637;   -2.529; 4936.764
 352.34; 1546.462;   -3.031; 4952.414
 352.51; 1593.341;   -2.414; 4944.669
 352.67; 1650.549;   -0.993; 4955.872
 352.84; 1708.374;   -0.881; 4948.002
 353.00; 1774.901;   -0.764; 4973.090
 353.17; 1831.890;   -0.148; 4975.507
 353.33; 1876.615;    0.369; 4983.481
 353.49; 1920.857;    0.900; 4986.421
 353.66; 1958.945;    1.350; 5002.995
 353.82; 1989.209;    0.348; 5008.764
 353.99; 2014.637;    0.512; 5026.291
 354.15; 2029.429;    1.748; 5030.164
 354.32; 2041.846;    0.026; 5044.186
 354.48; 2053.385;   -0.624; 5054.298
 354.64; 2065.494;   -1.460; 5083.043
 354.81; 2061.472;   -2.224; 5088.050
 354.97; 2055.956;   -1.174; 5106.776
 355.14; 2056.022;   -0.338; 5123.117
 355.30; 2046.945;   -1.583; 5134.214
 355.47; 2031.802;   -0.662; 5148.012
 355.63; 2006.769;   -1.460; 5164.128
