1054dcabina4cara
Integration time [ms]:  39.939
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 3
Data measured with spectrometer [name]: 0905077U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

 247.50;   69.538;    6.217;    7.233
 247.67;   89.692;   -4.033;   15.250
 247.84;   69.538;    1.817;   16.967
 248.01;   78.659;   -0.795;   11.955
 248.17;   80.527;   -1.440;   13.062
 248.34;   76.198;   -1.681;   12.526
 248.51;   75.692;   -2.974;   11.976
 248.68;   74.879;   -1.910;   10.869
 248.85;   78.110;   -2.488;   11.690
 249.02;   80.374;   -2.871;   10.707
 249.18;   80.352;   -1.479;   10.376
 249.35;   79.187;   -2.519;    9.621
 249.52;   83.165;   -2.612;   11.176
 249.69;   83.802;   -0.862;   11.031
 249.86;   86.637;   -1.460;   13.110
 250.02;   84.549;   -0.329;   12.450
 250.19;   79.297;   -1.402;   13.643
 250.36;   77.516;   -1.129;   13.993
 250.53;   78.769;   -0.393;   15.090
 250.70;   75.890;   -0.148;   13.840
 250.87;   76.308;   -1.907;   12.671
 251.03;   74.791;   -2.767;   10.869
 251.20;   74.462;   -2.964;   11.490
 251.37;   79.099;   -3.014;   11.479
 251.54;   80.176;   -3.183;   12.443
 251.71;   80.901;   -4.281;   13.183
 251.87;   82.022;   -3.726;   12.929
 252.04;   80.725;   -2.262;   14.774
 252.21;   81.319;   -2.164;   17.538
 252.38;   79.319;   -2.510;   17.812
 252.55;   78.022;   -0.669;   18.510
 252.71;   78.220;   -0.500;   19.545
 252.88;   76.440;    0.598;   19.662
 253.05;   77.780;    0.100;   21.164
 253.22;   79.956;   -0.383;   23.576
 253.39;   82.176;    0.729;   23.517
 253.56;   84.879;   -0.126;   25.386
 253.72;   89.692;   -1.252;   26.393
 253.89;   93.451;   -1.155;   28.700
 254.06;   96.110;   -1.110;   30.555
 254.23;   96.440;   -1.202;   31.890
 254.40;  100.374;   -0.700;   32.783
 254.56;   99.033;   -1.640;   35.224
 254.73;  100.330;   -0.519;   36.183
 254.90;   95.385;    0.674;   37.014
