Dates,Max,std
2000-01-01 00:00:00,0.12,0.0147
2000-02-01 00:00:00,0.14,0.0114
2000-03-01 00:00:00,0.16,0.0234
2000-04-01 00:00:00,0.24,0.0615
2000-05-01 00:00:00,0.23,0.0391
2000-06-01 00:00:00,0.24,0.0405
2000-07-01 00:00:00,0.24,0.0241
2000-08-01 00:00:00,0.24,0.039
2000-09-01 00:00:00,0.19,0.0423
2000-10-01 00:00:00,0.17,0.0239
2000-11-01 00:00:00,0.14,0.0223
2000-12-01 00:00:00,0.12,0.0219
2001-01-01 00:00:00,0.14,0.0174
2001-02-01 00:00:00,0.18,0.0236
2001-03-01 00:00:00,0.26,0.0325
2001-04-01 00:00:00,0.26,0.032
2001-05-01 00:00:00,0.25,0.038
2001-06-01 00:00:00,0.25,0.0246
2001-07-01 00:00:00,0.25,0.0265
2001-08-01 00:00:00,0.27,0.024
2001-09-01 00:00:00,0.26,0.0314
2001-10-01 00:00:00,0.22,0.0511
2001-11-01 00:00:00,0.19,0.0259
2001-12-01 00:00:00,0.16,0.0229
2002-01-01 00:00:00,0.17,0.0244
2002-02-01 00:00:00,0.22,0.0329
2002-03-01 00:00:00,0.28,0.0258
2002-04-01 00:00:00,0.28,0.0276
2002-05-01 00:00:00,0.27,0.0382
2002-06-01 00:00:00,0.26,0.0285
2002-07-01 00:00:00,0.24,0.0459
2002-08-01 00:00:00,0.25,0.0246
2002-09-01 00:00:00,0.25,0.0332
2002-10-01 00:00:00,0.22,0.0262
2002-11-01 00:00:00,0.18,0.0335
2002-12-01 00:00:00,0.16,0.0283
2003-01-01 00:00:00,0.17,0.0292
2003-02-01 00:00:00,0.23,0.0232
2003-03-01 00:00:00,0.25,0.0404
2003-04-01 00:00:00,0.26,0.0295
2003-05-01 00:00:00,0.28,0.0253
2003-06-01 00:00:00,nan,nan
2003-07-01 00:00:00,0.25,0.0344
2003-08-01 00:00:00,0.25,0.0318
2003-09-01 00:00:00,0.24,0.0419
2003-10-01 00:00:00,0.24,0.0272
2003-11-01 00:00:00,0.2,0.0292
2003-12-01 00:00:00,0.17,0.0242
2004-01-01 00:00:00,0.18,0.0378
2004-02-01 00:00:00,0.24,0.0333
2004-03-01 00:00:00,0.27,0.0361
2004-04-01 00:00:00,0.29,0.0384
2004-05-01 00:00:00,0.27,0.0323
2004-06-01 00:00:00,0.27,0.0317
2004-07-01 00:00:00,0.25,0.0305
2004-08-01 00:00:00,0.26,0.0176
2004-09-01 00:00:00,0.24,0.0229
2004-10-01 00:00:00,0.21,0.032
2004-11-01 00:00:00,0.18,0.0243
2004-12-01 00:00:00,0.15,0.0183
2005-01-01 00:00:00,0.17,0.0201
2005-02-01 00:00:00,0.21,0.0199
2005-03-01 00:00:00,0.25,0.0317
2005-04-01 00:00:00,0.26,0.0282
2005-05-01 00:00:00,0.23,0.0318
2005-06-01 00:00:00,0.25,0.0276
2005-07-01 00:00:00,0.27,0.0257
2005-08-01 00:00:00,0.25,0.0343
2005-09-01 00:00:00,0.25,0.0201
2005-10-01 00:00:00,0.22,0.0286
2005-11-01 00:00:00,0.18,0.0198
2005-12-01 00:00:00,0.15,0.016
2006-01-01 00:00:00,0.17,0.0257
2006-02-01 00:00:00,0.21,0.0248
2006-03-01 00:00:00,0.24,0.0165
2006-04-01 00:00:00,0.27,0.0243
2006-05-01 00:00:00,0.26,0.0222
2006-06-01 00:00:00,0.27,0.0418
2006-07-01 00:00:00,0.26,0.0329
2006-08-01 00:00:00,0.25,0.0348
2006-09-01 00:00:00,0.25,0.036
2006-10-01 00:00:00,0.22,0.0354
2006-11-01 00:00:00,0.18,0.0343
2006-12-01 00:00:00,0.17,0.0237
2007-01-01 00:00:00,0.18,0.0301
2007-02-01 00:00:00,0.24,0.041
2007-03-01 00:00:00,0.25,0.0357
