Date,Max Data,std
2000-01-01,30.1000,3.0031
2000-02-01,32.9800,2.0264
2000-03-01,36.9800,4.1494
2000-04-01,45.9300,7.3682
2000-05-01,47.9800,6.1795
2000-06-01,48.7200,7.8182
2000-07-01,52.4000,4.2841
2000-08-01,48.7500,6.8039
2000-09-01,42.7000,8.6559
2000-10-01,39.8500,4.4445
2000-11-01,34.0900,3.6422
2000-12-01,32.0400,4.9290
2001-01-01,39.2900,3.8773
2001-02-01,43.3900,3.4954
2001-03-01,51.4500,3.9089
2001-04-01,52.7700,4.8263
2001-05-01,52.3300,5.1681
2001-06-01,53.1700,5.5087
2001-07-01,54.9700,5.7065
2001-08-01,55.6600,5.5367
2001-09-01,51.5400,8.9042
2001-10-01,45.6400,11.4862
2001-11-01,41.2200,4.1827
2001-12-01,35.7700,5.1582
2002-01-01,38.5600,4.3013
2002-02-01,45.0200,6.0453
2002-03-01,52.5300,2.9312
2002-04-01,53.8200,3.2666
2002-05-01,54.6000,6.1217
2002-06-01,53.9500,5.6151
2002-07-01,50.9300,9.7225
2002-08-01,52.3000,5.1536
2002-09-01,50.5200,7.4571
2002-10-01,46.5700,3.9603
2002-11-01,41.1300,6.7604
2002-12-01,37.1900,6.0039
2003-01-01,37.3700,4.3703
2003-02-01,47.6100,3.4197
2003-03-01,50.5200,6.4648
2003-04-01,54.2300,3.9589
2003-05-01,54.2100,3.3458
2003-06-01,44.8900,6.1060
2003-07-01,53.2700,6.0181
2003-08-01,53.6900,6.8453
2003-09-01,46.7600,6.7461
2003-10-01,48.3100,3.5127
2003-11-01,42.2100,3.2184
2003-12-01,37.1400,4.2226
2004-01-01,38.4300,7.5440
2004-02-01,47.1400,3.9579
2004-03-01,50.6700,5.3757
2004-04-01,54.5500,5.5114
2004-05-01,54.1700,5.3354
2004-06-01,53.9800,6.4541
2004-07-01,54.5400,5.6738
2004-08-01,55.4000,3.2401
2004-09-01,51.4100,3.6606
2004-10-01,45.3600,6.0165
2004-11-01,41.4600,3.4360
2004-12-01,37.4100,3.2690
2005-01-01,38.4500,2.7461
2005-02-01,44.7200,3.4742
2005-03-01,51.9200,4.3621
2005-04-01,53.2400,2.9047
2005-05-01,50.5300,4.9246
2005-06-01,51.3700,5.8264
2005-07-01,55.2700,4.2700
2005-08-01,52.2100,6.5982
2005-09-01,52.4500,3.2909
2005-10-01,45.3500,5.8804
2005-11-01,41.1100,2.5992
2005-12-01,35.6200,3.3018
2006-01-01,37.6900,5.0961
2006-02-01,43.5600,3.5920
2006-03-01,50.8500,3.1409
2006-04-01,55.5200,2.9518
2006-05-01,56.3700,3.1048
2006-06-01,55.0200,7.4528
2006-07-01,54.8900,6.0806
2006-08-01,54.3300,6.7112
2006-09-01,52.6600,7.0312
2006-10-01,45.4700,5.5853
2006-11-01,40.1500,5.4423
2006-12-01,38.7600,2.8605
2007-01-01,40.7900,5.8216
2007-02-01,47.8400,6.6143
2007-03-01,50.4900,4.0233
2007-04-01,52.5500,7.8945
2007-05-01,53.8300,2.7166
2007-06-01,55.0400,3.6557
2007-07-01,54.7400,6.0522
2007-08-01,53.5200,9.3142
2007-09-01,51.2200,8.0320
2007-10-01,48.4700,9.2079
2007-11-01,43.7800,3.5020
2007-12-01,37.7900,2.7071
2008-01-01,39.4300,3.1919
2008-02-01,44.8500,2.8284
2008-03-01,49.2200,2.3789
2008-04-01,52.6600,2.8171
2008-05-01,51.7200,6.8963
2008-06-01,54.6700,5.7247
2008-07-01,51.8800,7.4732
2008-08-01,52.1200,5.9071
2008-09-01,47.4700,9.4161
2008-10-01,47.2200,5.8106
2008-11-01,41.8600,3.2764
2008-12-01,37.2400,2.0876
2009-01-01,38.4300,7.1712
2009-02-01,49.5900,4.8542
2009-03-01,59.2400,4.1752
2009-04-01,61.5500,2.8879
2009-05-01,59.4800,6.0431
2009-06-01,59.9700,5.1568
2009-07-01,62.3800,4.8444
2009-08-01,63.2300,4.7749
2009-09-01,55.0400,7.4908
2009-10-01,52.8300,5.7258
2009-11-01,44.6800,3.5303
2009-12-01,40.4000,5.2083
2010-01-01,39.9400,9.3824
2010-02-01,47.3600,12.2114
2010-03-01,55.0100,7.7215
2010-04-01,57.8900,4.4556
2010-05-01,55.5100,3.5501
2010-06-01,58.7000,6.1819
2010-07-01,49.7200,13.8181
2010-08-01,52.8800,8.9348
2010-09-01,52.7100,10.1287
2010-10-01,51.4500,6.5644
2010-11-01,43.1500,4.1471
2010-12-01,39.8500,2.7868
2011-01-01,41.9200,2.0674
2011-02-01,46.6400,2.5946
2011-03-01,52.7500,2.3568
2011-04-01,54.7600,2.6887
2011-05-01,54.7300,3.8228
2011-06-01,55.5800,10.3394
2011-07-01,55.9600,7.6443
2011-08-01,59.0300,4.7403
2011-09-01,56.7400,8.1193
2011-10-01,51.1400,5.1167
2011-11-01,43.6900,4.6989
2011-12-01,40.4000,2.1827
2012-01-01,41.3900,3.4209
2012-02-01,44.8500,7.0487
2012-03-01,55.1300,4.9798
2012-04-01,58.4500,4.3914
2012-05-01,55.9900,6.8355
2012-06-01,55.7400,9.7129
2012-07-01,60.2100,7.0514
2012-08-01,53.8200,12.0285
2012-09-01,55.3500,5.2765
2012-10-01,53.4700,4.8836
2012-11-01,43.2600,6.1468
