,count,mean,std,min,25%,50%,75%,max
Jan,20.0,6.934400000000001,0.8091158527416792,4.912,6.66,6.878,7.3149999999999995,8.792
Feb,20.0,8.5904,1.072331763273995,5.472,8.188,8.693999999999999,9.082,10.792
Mar,20.0,10.0754,1.1201430547737616,6.348000000000001,9.709,10.176000000000002,10.482000000000001,12.264
Apr,20.0,10.679799999999998,0.5997297286014933,9.52,10.332999999999998,10.614,10.817,11.879999999999999
May,20.0,10.453800000000001,0.6292391060889168,9.155999999999999,10.073,10.51,10.844,11.475999999999999
Jun,19.0,10.685684210526315,0.8467394360218616,9.708,10.08,10.516000000000002,10.982,12.492
Jul,20.0,10.3928,0.9437194944529472,8.732,10.043,10.216,10.849,12.332
Aug,20.0,10.488,1.1089036786038058,8.256,9.92,10.134,10.941,13.324
Sep,20.0,9.846,1.272050644473428,6.984,9.213000000000001,9.954,10.465,12.232000000000001
Oct,20.0,8.910400000000001,1.0013266147834503,6.78,8.511000000000001,8.902000000000001,9.536,10.824
Nov,20.0,7.4426000000000005,0.8069834929505911,5.644,7.087,7.306,8.011,9.18
Dec,20.0,6.4738,0.9136803310613737,4.82,6.069000000000001,6.454,6.805,8.796000000000001
