Dates,Max,std
2000-01-01 00:00:00,30.1,3.0527
2000-02-01 00:00:00,32.98,2.0623
2000-03-01 00:00:00,36.98,4.218
2000-04-01 00:00:00,45.93,7.4986
2000-05-01 00:00:00,47.98,6.2816
2000-06-01 00:00:00,48.72,7.9518
2000-07-01 00:00:00,52.4,4.355
2000-08-01 00:00:00,48.75,6.9164
2000-09-01 00:00:00,42.7,8.8039
2000-10-01 00:00:00,39.85,4.5179
2000-11-01 00:00:00,34.09,3.7044
2000-12-01 00:00:00,32.09,4.9374
2001-01-01 00:00:00,39.29,3.9436
2001-02-01 00:00:00,43.39,3.5595
2001-03-01 00:00:00,51.45,3.9735
2001-04-01 00:00:00,52.77,4.9088
2001-05-01 00:00:00,52.33,5.2629
2001-06-01 00:00:00,53.17,5.6029
2001-07-01 00:00:00,54.97,5.8008
2001-08-01 00:00:00,55.66,5.6313
2001-09-01 00:00:00,51.54,9.0564
2001-10-01 00:00:00,45.64,11.705
2001-11-01 00:00:00,41.22,4.2542
2001-12-01 00:00:00,35.77,5.2435
2002-01-01 00:00:00,38.56,4.3724
2002-02-01 00:00:00,45.02,6.1562
2002-03-01 00:00:00,52.53,2.9797
2002-04-01 00:00:00,53.82,3.3225
2002-05-01 00:00:00,54.6,6.2229
2002-06-01 00:00:00,53.95,5.7111
2002-07-01 00:00:00,50.93,9.8832
2002-08-01 00:00:00,52.3,5.2388
2002-09-01 00:00:00,50.52,7.5846
2002-10-01 00:00:00,46.57,4.0257
2002-11-01 00:00:00,41.13,6.8759
2002-12-01 00:00:00,37.19,6.1031
2003-01-01 00:00:00,37.37,4.4425
2003-02-01 00:00:00,47.61,3.4824
2003-03-01 00:00:00,50.52,6.5716
2003-04-01 00:00:00,54.23,4.0265
2003-05-01 00:00:00,54.21,3.403
2003-06-01 00:00:00,44.89,6.2939
2003-07-01 00:00:00,53.27,6.1246
2003-08-01 00:00:00,53.69,6.9585
2003-09-01 00:00:00,46.76,6.8614
2003-10-01 00:00:00,48.31,3.5707
2003-11-01 00:00:00,42.21,3.2734
2003-12-01 00:00:00,37.14,4.2924
2004-01-01 00:00:00,38.43,7.6687
2004-02-01 00:00:00,47.14,4.028
2004-03-01 00:00:00,50.67,5.4645
2004-04-01 00:00:00,54.55,5.6056
2004-05-01 00:00:00,54.17,5.4236
2004-06-01 00:00:00,53.98,6.5644
2004-07-01 00:00:00,54.54,5.7676
2004-08-01 00:00:00,55.4,3.2937
2004-09-01 00:00:00,51.41,3.7232
2004-10-01 00:00:00,45.36,6.1159
2004-11-01 00:00:00,41.46,3.4948
2004-12-01 00:00:00,37.28,3.3396
2005-01-01 00:00:00,38.45,2.7915
2005-02-01 00:00:00,44.72,3.5379
2005-03-01 00:00:00,51.92,4.4342
2005-04-01 00:00:00,53.24,2.9544
2005-05-01 00:00:00,50.53,5.006
2005-06-01 00:00:00,51.37,5.926
2005-07-01 00:00:00,55.27,4.3406
2005-08-01 00:00:00,52.21,6.7072
2005-09-01 00:00:00,52.45,3.3472
2005-10-01 00:00:00,45.35,5.9776
2005-11-01 00:00:00,41.11,2.6436
2005-12-01 00:00:00,35.62,3.3563
2006-01-01 00:00:00,37.69,5.1803
2006-02-01 00:00:00,43.56,3.6579
2006-03-01 00:00:00,50.85,3.1928
2006-04-01 00:00:00,55.52,3.0023
2006-05-01 00:00:00,56.37,3.1561
2006-06-01 00:00:00,55.02,7.5803
2006-07-01 00:00:00,54.89,6.1811
2006-08-01 00:00:00,54.33,6.8221
2006-09-01 00:00:00,52.66,7.1514
2006-10-01 00:00:00,45.47,5.6776
2006-11-01 00:00:00,40.15,5.5353
2006-12-01 00:00:00,38.76,2.9077
2007-01-01 00:00:00,40.79,5.9178
2007-02-01 00:00:00,47.84,6.7357
2007-03-01 00:00:00,50.49,4.0898
2007-04-01 00:00:00,52.55,8.0295
2007-05-01 00:00:00,53.83,2.7615
2007-06-01 00:00:00,55.04,3.7182
2007-07-01 00:00:00,54.74,6.1522
2007-08-01 00:00:00,53.52,9.4682
2007-09-01 00:00:00,51.22,8.1693
2007-10-01 00:00:00,48.47,9.3601
2007-11-01 00:00:00,43.78,3.5618
2007-12-01 00:00:00,37.79,2.7518
2008-01-01 00:00:00,39.43,3.2447
2008-02-01 00:00:00,44.85,2.8785
2008-03-01 00:00:00,49.22,2.4182
2008-04-01 00:00:00,52.66,2.8653
2008-05-01 00:00:00,51.72,7.0103
2008-06-01 00:00:00,54.67,5.8225
2008-07-01 00:00:00,51.88,7.5967
2008-08-01 00:00:00,52.12,6.0048
2008-09-01 00:00:00,47.47,9.5771
2008-10-01 00:00:00,47.22,5.9067
2008-11-01 00:00:00,41.86,3.3324
2008-12-01 00:00:00,37.24,2.0877
2009-01-01 00:00:00,38.43,7.2897
2009-02-01 00:00:00,49.59,4.9433
2009-03-01 00:00:00,59.24,4.2442
2009-04-01 00:00:00,61.55,2.9372
2009-05-01 00:00:00,59.48,6.143
2009-06-01 00:00:00,59.97,5.245
2009-07-01 00:00:00,62.38,4.9245
2009-08-01 00:00:00,63.23,4.8538
2009-09-01 00:00:00,55.04,7.6189
2009-10-01 00:00:00,52.83,5.8204
2009-11-01 00:00:00,44.68,3.5906
2009-12-01 00:00:00,40.4,5.2944
2010-01-01 00:00:00,39.94,9.5375
2010-02-01 00:00:00,47.36,12.4355
2010-03-01 00:00:00,55.01,7.8491
2010-04-01 00:00:00,57.9,4.5318
2010-05-01 00:00:00,55.51,3.6129
2010-06-01 00:00:00,58.7,6.2875
2010-07-01 00:00:00,49.72,14.0465
2010-08-01 00:00:00,52.88,9.0825
2010-09-01 00:00:00,52.71,10.3019
2010-10-01 00:00:00,51.45,6.6729
2010-11-01 00:00:00,43.15,4.218
2010-12-01 00:00:00,39.85,2.8329
2011-01-01 00:00:00,41.92,2.1016
2011-02-01 00:00:00,46.64,2.6422
2011-03-01 00:00:00,52.75,2.3958
2011-04-01 00:00:00,54.76,2.7347
2011-05-01 00:00:00,54.73,3.886
2011-06-01 00:00:00,55.58,10.5162
2011-07-01 00:00:00,55.96,7.7706
2011-08-01 00:00:00,59.03,4.8187
2011-09-01 00:00:00,56.74,8.2581
2011-10-01 00:00:00,51.14,5.2013
2011-11-01 00:00:00,43.69,4.7793
2011-12-01 00:00:00,40.4,2.2188
2012-01-01 00:00:00,41.39,3.4775
2012-02-01 00:00:00,44.85,7.1734
2012-03-01 00:00:00,55.13,5.0621
2012-04-01 00:00:00,58.45,4.4665
2012-05-01 00:00:00,55.99,6.9485
2012-06-01 00:00:00,55.74,9.8789
2012-07-01 00:00:00,60.21,7.1679
2012-08-01 00:00:00,53.82,12.2273
2012-09-01 00:00:00,55.35,5.3667
2012-10-01 00:00:00,53.47,4.9643
2012-11-01 00:00:00,43.26,6.2518
2012-12-01 00:00:00,41.17,2.5637
2013-01-01 00:00:00,42.54,4.8802
2013-02-01 00:00:00,51.46,3.2208
2013-03-01 00:00:00,53.0,7.332
2013-04-01 00:00:00,55.46,4.5804
2013-05-01 00:00:00,55.05,6.2318
2013-06-01 00:00:00,55.69,8.2888
2013-07-01 00:00:00,58.38,5.9832
2013-08-01 00:00:00,55.78,8.1713
2013-09-01 00:00:00,45.23,12.7908
2013-10-01 00:00:00,45.74,11.0313
2013-11-01 00:00:00,41.51,8.996
2013-12-01 00:00:00,38.22,5.2929
2014-01-01 00:00:00,40.0,4.503
2014-02-01 00:00:00,45.18,3.3884
2014-03-01 00:00:00,58.23,9.0549
2014-04-01 00:00:00,58.27,6.9733
2014-05-01 00:00:00,57.68,10.434
2014-06-01 00:00:00,59.3,6.9363
2014-07-01 00:00:00,63.11,7.3849
2014-08-01 00:00:00,64.71,6.364
2014-09-01 00:00:00,58.9,7.6398
2014-10-01 00:00:00,56.4,8.749
2014-11-01 00:00:00,50.92,4.542
2014-12-01 00:00:00,47.16,6.8129
2015-01-01 00:00:00,49.14,6.7466
2015-02-01 00:00:00,55.54,8.4042
2015-03-01 00:00:00,59.8,9.5788
2015-04-01 00:00:00,58.83,10.1902
2015-05-01 00:00:00,57.78,7.9791
2015-06-01 00:00:00,56.0,7.4292
2015-07-01 00:00:00,60.71,5.7285
2015-08-01 00:00:00,61.61,6.2819
2015-09-01 00:00:00,55.09,13.6364
2015-10-01 00:00:00,50.35,13.0934
2015-11-01 00:00:00,47.74,9.2217
2015-12-01 00:00:00,41.52,7.3841
2016-01-01 00:00:00,44.7,11.6846
2016-02-01 00:00:00,52.61,5.8919
2016-03-01 00:00:00,52.86,12.9034
2016-04-01 00:00:00,60.34,9.1625
2016-05-01 00:00:00,58.11,6.2852
2016-06-01 00:00:00,59.71,6.0614
2016-07-01 00:00:00,61.24,7.3189
2016-08-01 00:00:00,59.38,5.5558
2016-09-01 00:00:00,54.35,4.8368
2016-10-01 00:00:00,50.14,6.8066
2016-11-01 00:00:00,42.07,8.0076
2016-12-01 00:00:00,47.03,3.7138
2017-01-01 00:00:00,47.14,3.4438
2017-02-01 00:00:00,51.43,5.8912
