Dates,Max
2012-08-01,9.8667
2012-09-01,9.8667
2012-10-01,9.7333
2012-11-01,8.9333
2012-12-01,7.8667
2013-01-01,7.0667
2013-02-01,7.8667
2013-03-01,9.0667
2013-04-01,10.2667
2013-05-01,10.5333
2013-06-01,10.4000
2013-07-01,10.2667
2013-08-01,10.1333
2013-09-01,9.6000
2013-10-01,8.8000
2013-11-01,7.8667
2013-12-01,7.0667
2014-01-01,6.4000
2014-02-01,6.5333
2014-03-01,8.0000
2014-04-01,9.6000
2014-05-01,10.5333
2014-06-01,10.6667
2014-07-01,10.6667
2014-08-01,10.8000
2014-09-01,10.5333
2014-10-01,10.0000
2014-11-01,9.0667
2014-12-01,8.0000
2015-01-01,7.3333
2015-02-01,7.6000
2015-03-01,8.6667
2015-04-01,9.6000
2015-05-01,10.0000
2015-06-01,10.0000
2015-07-01,10.0000
2015-08-01,10.0000
2015-09-01,9.7333
2015-10-01,9.2000
2015-11-01,8.2667
2015-12-01,7.2000
2016-01-01,6.5333
2016-02-01,6.8000
2016-03-01,8.0000
2016-04-01,9.4667
2016-05-01,10.5333
2016-06-01,11.0667
2016-07-01,11.3333
2016-08-01,11.4667
2016-09-01,11.4667
2016-10-01,10.9333
2016-11-01,9.7333
2016-12-01,8.6667
2017-01-01,8.0000
2017-02-01,8.4000
2017-03-01,9.3333
2017-04-01,10.5333
2017-05-01,11.0667
2017-06-01,11.4667
2017-07-01,11.4667
2017-08-01,11.6000
2017-09-01,11.0667
2017-10-01,10.4000
2017-11-01,9.3333
2017-12-01,8.0000
2018-01-01,6.9333
2018-02-01,7.2000
2018-03-01,8.5333
2018-04-01,9.8667
2018-05-01,10.8000
2018-06-01,11.4667
2018-07-01,12.0000
2018-08-01,12.2667
2018-09-01,12.1333
2018-10-01,11.6000
2018-11-01,10.4000
2018-12-01,9.3333
2019-01-01,8.8000
2019-02-01,9.4667
2019-03-01,10.6667
2019-04-01,11.7333
2019-05-01,11.8667
2019-06-01,11.8667
2019-07-01,12.0000
2019-08-01,12.6667
2019-09-01,12.6667
2019-10-01,12.1333
2019-11-01,10.8000
2019-12-01,9.0667
2020-01-01,8.1333
2020-02-01,8.4000
2020-03-01,9.8667
2020-04-01,11.3333
2020-05-01,12.0000
2020-06-01,12.6667
2020-07-01,12.9333
2020-08-01,13.2000
2020-09-01,12.5333
2020-10-01,11.8667
2020-11-01,10.5333
