Date,AOD,RD, Difference
170412,0.285,9.93,9.93
170419,0.225,9.8,9.8
170912,0.805,27.12,22.84
171007,0.805,112.3,96.85
171021,0.685,23.82,-0.73
171026,0.235,9.88,9.88
171027,0.315,9.49,9.47
171028,0.805,19.26,1.41
171106,0.175,9.36,9.36
171107,0.165,9.88,9.88
171111,0.385,11.16,-0.16
171113,0.365,14.2,-0.09
171116,0.275,9.2,9.2
171122,0.265,9.9,9.9
171125,0.185,9.8,9.8
171127,0.295,9.24,9.24
171128,0.255,9.23,9.23
171129,0.305,9.82,9.81
171201,0.555,10.68,-0.33
180102,0.435,9.73,9.49
180107,0.255,9.4,9.4
180112,0.245,9.15,9.15
180114,0.295,9.99,9.99
180115,0.395,9.27,9.25
180116,0.435,9.47,8.35
180202,0.665,12.25,-0.64
180213,0.225,9.83,9.83
180215,0.335,9.92,9.91
180218,0.615,14.34,-0.62
180225,0.675,20.9,-0.03
180303,0.305,9.3,9.3
180304,0.315,9.82,9.82
180305,0.805,41.55,17.03
180324,0.295,9.63,9.63
180420,0.675,15.96,-0.23
180427,0.805,119.57,111.31
