Date,AOD,RD, Difference
170113,0.425,9.5,9.5
170114,0.535,9.07,8.91
170118,0.385,9.68,9.09
170120,0.325,9.14,9.13
170122,0.325,9.12,9.12
170123,0.365,9.17,9.16
170127,0.385,9.7,9.45
170128,0.485,9.31,9.31
170130,0.515,9.54,9.53
170203,0.575,9.24,9.24
170207,0.535,9.9,9.6
170208,0.535,9.37,8.02
170226,0.345,9.36,9.36
170302,0.405,9.45,9.45
170402,0.495,9.82,9.82
170912,0.095,9.85,9.85
171007,0.155,9.48,9.47
171021,0.275,9.85,9.85
171026,0.115,9.93,9.93
171027,0.175,9.7,9.7
171104,0.155,9.77,9.77
171106,0.245,9.52,9.52
171107,0.155,9.52,8.64
171113,0.095,9.21,9.21
171115,0.175,9.45,9.45
171116,0.165,9.03,9.02
171118,0.185,9.12,9.12
171122,0.125,9.34,9.34
171123,0.145,9.08,9.08
171125,0.275,9.02,9.02
171127,0.155,9.02,9.02
171128,0.175,9.48,9.48
171211,0.125,9.79,9.79
171213,0.305,9.88,9.88
171215,0.155,9.72,9.72
171224,0.355,9.66,9.66
171227,0.425,9.78,9.78
180103,0.395,9.08,9.08
180105,0.475,9.25,9.19
180107,0.295,9.26,9.26
180110,0.285,9.09,9.08
180114,0.185,9.7,9.7
180115,0.255,9.48,9.48
180116,0.355,9.56,9.32
180202,0.225,9.96,9.96
180215,0.225,9.98,9.96
180216,0.255,9.35,9.35
180218,0.335,9.7,9.7
180225,0.135,9.53,9.45
180227,0.435,9.65,9.07
180303,0.285,9.41,9.41
180304,0.375,9.36,9.1
180310,0.215,9.83,9.83
180320,0.385,9.68,9.67
180417,0.495,9.67,9.67
180420,0.265,9.74,9.74
180531,0.275,9.6,9.6
