Date,AOD,RD, Difference
170329,0.105,9.36,9.36
170401,0.105,9.83,9.83
170404,0.165,9.37,9.37
170412,0.155,9.99,9.99
170420,0.135,9.94,9.94
170623,0.125,9.71,9.71
170912,0.805,30.6,23.99
171026,0.195,9.56,9.56
171027,0.665,26.18,-0.26
171104,0.105,9.43,9.43
171106,0.095,9.99,9.99
171107,0.155,9.26,9.26
171113,0.125,9.9,9.9
171118,0.625,32.08,-0.04
171121,0.235,9.8,9.8
171122,0.365,9.41,9.37
171123,0.375,9.67,9.67
171125,0.075,9.7,9.7
171127,0.245,9.76,9.75
171128,0.175,9.14,9.14
171206,0.435,16.76,-0.6
171211,0.095,9.16,9.16
171213,0.605,9.89,1.64
171215,0.295,14.8,-0.76
171227,0.225,9.9,9.9
171229,0.305,9.8,9.04
180102,0.685,19.67,-0.18
180107,0.205,9.53,9.53
180109,0.325,9.41,9.29
180110,0.585,9.89,1.81
180112,0.165,9.65,9.65
180114,0.385,9.71,8.88
180115,0.405,9.28,9.17
180202,0.545,11.11,-0.19
180216,0.195,9.29,9.29
180217,0.325,9.49,9.24
180218,0.805,27.43,11.99
