  Dias      DR UVA      DR Erythermal
 170624   13.520638       18.979996    
 170912   12.608725       18.502110    
 170915   16.540064       25.955189    
 171020   35.354500       70.427567    
 171025   12.779336       7.7748246    
 171027   20.700644       22.234102    
 171028   20.576937       23.531427    
 171103   16.184303       17.230412    
 171105   18.571325       19.417295    
 171107   17.185547       18.358606    
 171108   16.502684       20.671495    
 171111   18.508369       17.153713    
 171113   14.572380       14.824869    
 171122   21.349546       18.747673    
 171126   18.544407       17.911192    
 180113   22.469067       14.533080    
 180114   23.837048       14.700237    
 180516   14.615735       27.950251    
 180526   17.070383       31.310888    
 180527   15.795666       27.684906    
 180528   14.242742       25.505507    
 180605   12.719356       24.876862    
