Lon	I-H-1127	I-H-1138	I-P-1140	O-H-1124	O-P-1128	O-H-1136
329.25	55.921	48.724	43.317	1724.009	49.636	1244.427
329.42	60.107	56.931	51.371	1742.766	57.052	1255.986
329.58	65.773	62.531	57.696	1752.366	67.839	1267.069
329.75	66.686	61.752	57.158	1730.972	68.686	1255.752
329.92	67.334	63.653	56.928	1701.708	72.653	1237.422
330.08	63.243	55.452	50.859	1660.233	69.2	1207.035
330.25	67.058	60.256	48.739	1641.168	71.014	1194.816
330.41	64.224	52.081	45.554	1618.488	66.752	1180.367
330.58	62.621	48.215	44.127	1610.841	63.632	1171.918
330.74	57.557	39.92	33.7	1597.271	54.854	1164.909
330.91	55.757	40.559	32.823	1611.537	57.207	1169.976
331.07	54.612	34.557	31.678	1622.151	53.316	1173.568
331.24	57.675	38.345	33.334	1645.455	55.345	1187.587
331.4	59.637	38.791	38.286	1657.681	58.472	1197.89
331.57	64.313	44.588	42.478	1676.049	61.544	1207.719
331.73	65.444	47.895	40.357	1678.389	63.4	1212.005
331.9	71.644	57.677	47.919	1691.952	68.655	1216.59
332.06	78.728	61.003	51.618	1692.464	71.146	1215.442
332.23	83.813	67.165	50.857	1698.011	75.682	1222.473
332.39	86.954	69.185	53.866	1693.525	80.998	1223.009
332.56	87.236	69.357	54.324	1689.214	77.522	1215.918
332.72	88.916	69.564	53.322	1679.224	79.443	1209.542
332.89	91.882	69.212	58.574	1683.223	78.52	1211.157
333.06	90.416	66.098	55.658	1678.262	78.219	1205.109
333.22	93.598	70.225	63.983	1688.148	81.291	1214.763
333.39	94.931	68.81	66.063	1697.107	83.876	1220.964
333.55	102.099	77.934	72.307	1723.769	90.231	1243.923
333.72	105.9	77.449	69.559	1737.482	92.999	1261.647
333.88	109.374	86.484	74.791	1771.615	100.89	1291.154
334.05	114.253	90.726	74.967	1796.121	105.396	1313.649
334.21	118.333	94.388	79.487	1835.344	108.311	1341.036
334.38	122.07	96.3	73.729	1858.223	109.432	1358.608
334.54	129.541	105.727	80.321	1876.749	117.672	1374.925
334.71	127.354	100.222	75.145	1868.783	111.947	1369.167
334.87	131.788	110.085	81.689	1876.403	119.612	1366.184
335.04	135.842	110.556	85.743	1856.171	120.699	1351.809
335.2	132.495	112.155	88.111	1833.418	121.023	1333.133
335.37	134.503	111.943	89.283	1784.195	119.228	1301.767
335.53	134.091	112.784	95.553	1741.256	121.872	1274.333
335.7	129.334	105.631	90.049	1692.521	110.939	1238.752
335.86	134.988	109.373	97.548	1670.417	116.263	1222.263
336.03	129.553	102.597	95.191	1642.718	110.674	1206.575
336.19	128.643	101.489	96.214	1637.258	108.731	1198.203
336.36	132.79	101.702	95.043	1633.823	111.933	1197.681
336.52	138.946	109.155	102.561	1652.484	118.33	1214.528
336.69	146.814	111.989	105.857	1671.055	123.363	1230.473
336.85	154.59	122.161	112.007	1713.227	134.458	1260.765
337.02	156.424	128.809	113.183	1747.172	139.479	1287.38
