Lon	I-H-1127	I-H-1138	I-P-1140	O-H-1124	O-P-1128	O-H-1136
268.82	45.065	34.768	38.043	88.604	53.087	65.56
268.99	48.662	37.64	40.013	90.596	53.673	68.42
269.16	50.579	36.81	42.766	92.93	56.227	71.513
269.33	52.696	40.531	46.904	95.377	59.816	73.685
269.49	48.318	41.582	45.428	96.604	58.45	72.11
269.66	48.752	41.598	47.4	101.455	57.587	73.741
269.83	49.582	36.692	44.363	96.461	51.275	73.417
270	49.26	33.052	39.997	97.436	49.041	68.667
270.16	48.366	33.762	39.102	97.795	51.333	70.399
270.33	57.494	45.593	46.34	105.802	56.351	74.966
270.5	55.611	41.534	40.413	103.677	53.347	74.259
270.67	56.645	41.667	42.678	105.788	54.579	70.909
270.83	54.905	41.223	44.366	101.872	57.696	70.784
271	58.091	45.882	48.08	106.662	61.212	74.113
271.17	57.201	45.982	48.729	105.575	60.96	76.026
271.34	55.968	42.748	47.1	106.869	59.573	73.221
271.5	47.477	32.213	38.125	96.026	54.268	68.938
271.67	50.395	38.142	44.56	99.362	57.428	70.812
271.84	50.314	38.084	43.776	92.798	53.677	73.095
272.01	48.137	39.884	39.049	94.422	53.324	72.159
272.17	47.439	39.428	40.065	95.109	54.626	73.12
272.34	51.219	43.889	44.944	101.065	60.142	75.504
272.51	50.034	44.177	45.694	99.024	60.782	78.661
272.68	56.277	53.607	49.343	106.783	60.145	82.761
272.84	53.536	49.173	44.36	103.008	58.041	78.997
273.01	54.346	49.829	47.324	107.445	63.401	81.884
273.18	57.864	45.281	48.6	106.809	61.622	84.38
273.35	56.892	42.793	45.87	103.046	59.53	80.431
273.51	52.77	41.023	39.814	94.023	57.539	78.847
273.68	51.437	39.448	37.998	92.668	54.251	76.119
273.85	43.015	33.07	29.795	89.19	53.103	68.168
274.02	44.16	38.457	33.226	90.402	52.687	72.49
274.18	40.977	34.153	26.878	87.68	50.054	66.526
274.35	42.461	42.736	29.945	90.242	54.637	69.472
274.52	41.128	41.644	26.677	88.666	54.556	68.699
274.69	40.783	40.31	27.607	90.849	53.706	65.508
274.85	38.267	38.256	22.366	90.904	50.816	63.64
275.02	43.779	39.79	29.812	92.482	52.482	69.076
275.19	38.596	31.86	25.201	91.497	51.585	63.838
275.35	40.55	35.286	28.077	94.967	53.121	69.714
275.52	38.584	28.419	22.507	91.749	47.881	62.903
275.69	42.882	30.541	23.069	95.673	45.475	62.904
275.86	39.842	27.084	21.303	93.974	39.073	61.919
276.02	46.958	36.596	32.64	95.706	47.134	68.475
276.19	44.887	32.656	29.645	91.151	45.656	64.678
276.36	54.268	39.73	36.345	96.73	52.554	72.18
276.53	55.516	40.472	40.538	94.483	52.725	71.747
276.69	56.448	43.272	49.25	100.272	56.755	74.14
276.86	53.613	42.173	50.063	102.03	60.184	75.865
277.03	54.642	44.368	50.961	102.027	65.456	77.346
277.19	47.836	34.638	41.166	97.309	58.979	67.319
277.36	48.385	38.154	42.638	100.781	58.583	68.451
277.53	40.845	32.13	37.383	95.944	51.812	62.614
277.7	44.803	34.133	36.946	99.396	53.946	63.55
277.86	40.15	28.535	28.029	91.205	47.644	60.337
278.03	45.686	35.411	33.653	89.334	55.576	63.774
278.2	44.176	29.571	32.406	87.406	52.022	64.714
278.37	51.189	36.211	40.65	94.09	56.024	74.595
278.53	50.385	34.374	42.396	92.649	58.451	72.374
278.7	52.736	34.329	44.659	95.417	60.648	71.703
278.87	45.459	27.294	38.042	88.47	54.141	67.36
279.03	45.701	28.218	41.888	91.064	57.174	68.712
279.2	37.014	17.003	32.717	85.124	42.311	61.728
279.37	37.477	22.498	33.531	90.707	45.345	62.641
279.54	32.625	14.856	27.845	83.724	41.307	56.724
279.7	32.355	14.52	24.762	81.674	40.355	55.498
279.87	32.91	17.954	23.646	80.405	39.262	60.13
280.04	36.455	26.049	27.016	86.126	42.126	62.28
280.2	33.462	24.044	22.923	83.374	38.89	60.286
280.37	41.815	37.387	33.914	94.299	49.903	67.639
280.54	45.421	35.564	32.553	90.718	50.19	66.531
280.71	46.155	40.672	35.969	94.243	53.408	67.276
280.87	45.47	41.679	38.36	96.393	53.58	70.141
281.04	45.15	43.754	38.567	97.282	55.04	66.446
281.21	43.159	38.796	39.082	93.818	56.939	69.412
281.37	46.884	44.434	43.555	98.445	58.84	69.895
281.54	37.366	32.256	33.553	88.157	48.904	63.487
281.71	37.397	36.881	36.573	89.925	48.65	65.155
