Lon	I-H-1043	I-H-1048	I-P-1116	O-H-1040	O-H-1046	O-P-1113	I-H-1114
259.1	28.472	26.592	76.603	95.724	101.724	85.691	72.12
259.27	29.913	26.825	78.869	97.979	100.352	90.22	79.495
259.43	36.155	30.496	81.738	99.76	101.188	92.1	81.43
259.6	38.608	31.036	82.817	100.696	101.926	94.872	85.157
259.77	38.702	33.262	83.625	104.768	106.02	95.834	87.097
259.94	43.281	38.83	83.446	108.05	108.885	103.457	92.336
260.11	41.888	37.592	79.866	105.317	105.251	93.13	83.603
260.27	45.998	37.24	84.053	107.295	104.877	94.614	88.064
260.44	43.754	36.029	81.029	107.402	104.04	86.864	82.084
260.61	41.854	32.832	79.03	105.48	104.25	87.612	79.48
260.78	41.432	33.663	78.575	105.388	106.114	85.509	75.542
260.94	42.741	33.06	77.324	104.565	105.445	89.73	75.752
261.11	39.302	27.093	75.258	104.005	101.785	80.961	69.983
261.28	37.453	25.882	74.981	104.244	101.607	84.574	75.431
261.45	35.9	26.021	75.241	102.582	100.538	83.274	73.834
261.62	37.962	25.203	78.083	105.764	104.313	91.017	78.709
261.78	39.265	27.144	78.034	107.353	101.528	90.946	77.946
261.95	41.08	28.366	77.026	108.267	101.102	94.443	83.762
262.12	38.381	24.458	72.799	106.601	96.821	86.546	78.733
262.29	39.25	26.844	75.107	105.822	99.58	91.778	82.327
262.45	41.897	27.93	76.974	106.776	103.809	88.787	82.512
262.62	44.965	28.822	78.36	106.569	106.613	93.053	85.316
262.79	42.484	28.913	75.275	103.187	104.396	83.616	82.396
262.96	40.993	30.741	78.916	103.697	107.037	85.477	84.466
263.13	37.97	29.014	80.343	101.223	107.618	78.926	78.365
263.29	38.424	32.655	84.127	104.644	112.732	83.479	82.292
263.46	38.842	29.974	81.963	101.787	109.678	75.183	76.82
263.63	38.634	28.03	79.81	100.766	106.832	79.953	79.117
263.8	33.796	23.038	75.862	96.741	105.202	70.796	73.005
263.96	33.867	24.933	78.867	99.867	103.296	76.856	74.966
264.13	36.652	23.212	79.597	100.256	104.586	77.476	75.905
264.3	41.393	23.316	79.272	104.052	106.118	84.997	82.096
264.47	44.453	21.826	79.354	104.101	105.266	87.563	83.705
264.63	42.517	22.154	82.11	106.539	106.363	92.275	90.956
264.8	41.479	22.105	83.545	104.819	107.127	88.72	86.182
264.97	41.932	26.185	83.987	111.097	108.328	93.888	89.361
265.14	42.415	21.635	79.514	106.459	109.998	87.635	84.569
265.31	38.6	23.556	78.941	106.051	107.721	91.216	85.018
265.47	36.01	25.252	79.966	106.56	104.604	86.417	78.604
265.64	35.42	28.903	79.892	104.628	105.42	88.079	78.584
265.81	37.015	32.806	77.718	105.234	105.74	86.938	75.828
265.98	37.973	35.412	76.467	104.5	104.412	90.94	79.423
266.14	35.776	32.666	73.666	99.82	102.743	87.677	76.084
266.31	33.978	35.945	76.209	100.33	104.374	95.165	81.275
266.48	34.235	34.026	72.828	101.531	104.674	88.641	79.334
266.65	33.264	34.748	72.594	98.253	106.034	93.22	84.737
266.81	26.833	29.525	68.152	96.547	98.811	84.361	76.064
266.98	26.075	29.316	70.064	98.316	101.217	90.602	78.118
267.15	30.381	28.985	73.326	102.776	104.205	87.733	78.689
267.32	29.534	31.237	74.402	103.578	106.919	92.083	79.292
267.48	33.509	33.476	77.069	104.805	106.937	89.542	77.948
267.65	34.686	31.774	75.335	102.445	105.961	91.038	78.994
267.82	34.308	28.781	72.199	103.627	105.891	82.253	70.88
267.99	37.598	29.059	74.422	102.938	111.378	84.719	76.455
268.15	37.479	25.666	69.084	98.886	108.446	77.732	69.479
268.32	33.66	27.055	69.825	96.451	107.44	82.319	70.539
268.49	36.034	25.408	72.342	98.847	104.144	80.99	70.408
268.66	33.585	25.53	70.585	101.827	103.893	86.069	74.157
268.82	34.23	29.186	74.406	104.911	104.713	83.845	74.582
268.99	36.112	30.871	76.98	105.189	105.013	91.233	79.717
269.16	36.359	33.073	79.7	106.557	105.392	89.711	81.766
269.33	36.981	36.135	84.97	107.597	106.63	94.344	84.849
269.49	38.978	34.417	82.978	110.011	106.077	89.736	78.318
269.66	40.026	38.653	83.048	109.059	109.235	94.004	80.642
269.83	43.406	36.692	83.626	103.846	108.352	91.791	75.494
270	41.59	33.359	85.315	102.711	110.008	94.909	71.964
270.16	43.245	32.531	85.135	100.959	111.751	91.102	73.311
270.33	47.67	37.417	89.417	105.274	112.703	99.934	78.923
270.5	47.853	34.457	89.171	103.721	112.138	94.919	77.655
270.67	43.48	32.568	89.843	103.062	109.7	95.348	81.106
270.83	42.751	27.992	90.531	102.135	107.476	87.883	77.652
271	41.805	28.168	94.761	107.629	107.41	89.102	79.695
271.17	42.718	30.685	92.784	108.96	108.234	86.575	81.619
271.34	41.485	29.781	91.54	111.221	106.65	90.276	80.034
271.5	37.037	22.719	85.828	106.048	102.466	83.268	70.751
271.67	35.867	23.856	83.68	111.23	101.384	86.329	72.878
271.84	38.996	24.281	81.677	110.864	100.029	85.798	68.49
272.01	40.95	27.049	80.148	114.071	100.664	90.972	73.609
272.17	41.351	27.648	78.23	112.692	104.406	89.824	71.637
272.34	46.054	28.856	80.285	112.845	101.856	95.9	76.647
272.51	45.221	29.848	80.166	113.265	101.903	91.936	75.859
272.68	48.299	31.277	82.486	117.684	104.409	94.717	80.563
272.84	49.865	29.261	81.909	113.25	103.426	90.426	77.514
273.01	51.291	32.291	84.555	114.873	105.335	96.082	86.06
273.18	48.347	32.138	83.072	110.193	102.655	90.798	82.94
273.35	47.991	30.09	80.024	108.409	99.046	91.376	85.134
273.51	43.825	28.891	77.539	104.572	98.132	85.44	80.88
273.68	43.02	28.635	75.361	101.943	97.064	86.141	80.91
273.85	41.41	27.883	72.267	96.663	97.081	81.883	78.465
274.02	40.577	31.599	72.83	99.984	98.27	84.577	81.984
274.18	36.735	27.779	70.581	96.647	98.296	76.768	75.197
274.35	39.846	29.374	74.516	99.472	101.538	84.198	81.165
274.52	36.314	29.292	73.721	97.897	102.578	81.446	79.567
274.69	35.486	28.047	73.849	97.882	104.124	85.684	82.036
274.85	35.827	23.794	75.475	97.497	104.201	80.959	78.684
275.02	35.757	29.196	80.669	100.262	103.339	88.68	81.955
275.19	33.827	27.42	79.453	95.717	101.805	84.937	77.651
275.35	37.187	30.978	82.758	99.275	101.121	91.297	81.802
275.52	35.968	28.243	80.056	94.738	97.837	84.397	72.716
275.69	38.245	31.948	79.684	99.585	99.146	85.805	75.256
275.86	37.622	30.117	77.49	99.029	94.26	80.424	69.49
276.02	38.936	38.134	80.552	100.804	95.002	90.98	75.859
276.19	38.184	34.854	75.239	101.041	96.404	82.349	70.623
276.36	41.587	35.686	78.894	106.708	100.774	89.147	80.532
276.53	39.538	34.054	78.615	105.12	100.307	85.241	80.065
276.69	40.865	36.81	80.459	110.25	102.821	93.129	91.371
276.86	40.668	33.821	81.415	105.766	100.733	92.437	87.832
277.03	39.412	35.137	80.06	107.17	103.521	96.423	91.631
277.19	35.858	27.561	75.155	102.627	99.44	84.199	82.847
277.36	38.209	29.407	76	100.693	102.539	90.077	84.495
277.53	33.394	25.405	71.944	96.691	99.746	84.284	76.075
277.7	36.517	30.792	72.155	97.858	105.77	88.561	79.198
277.86	33.315	26.908	69.051	95.337	105.249	78.842	69.93
278.03	38.104	30.708	73.213	100.367	108.323	85.136	77.18
278.2	38.044	29.483	70.967	99.758	109.89	80.143	71.099
278.37	41.101	33.617	77.441	104.244	113.298	88.178	80.925
278.53	40.253	33.89	77.44	105.835	106.736	86.616	81.66
278.7	42.34	37.802	80.263	104.076	106.626	91.131	82.868
278.87	36.514	31.602	73.261	101.525	102.075	83.536	75.547
279.03	37.503	31.646	74.24	104.207	101.13	88.976	78.69
279.2	29.783	26.761	68.025	97.827	93.41	75.794	66.179
279.37	31.784	29.839	72.037	97.916	93.652	80.092	70.949
279.54	28.779	28.043	67.329	93.79	90.735	74.131	63.724
279.7	27.63	25.729	68.366	93.937	92.223	74.882	64.113
279.87	28.273	26.701	69.108	97.899	94.009	70.196	63.701
280.04	31.598	27.631	74.576	98.873	95.093	78.675	70.411
280.2	31.549	29.626	72.736	94.319	93.813	75.626	67.593
280.37	34.672	36.859	80.068	100.98	102.035	89.573	78.98
280.54	33.663	34.333	79.333	100.212	103.883	84.949	74.85
280.71	37.87	37.551	80.408	104.441	104.925	92.243	80.551
280.87	39.207	35.349	81.756	103.47	107.536	87.811	78.327
281.04	39.326	32.809	79.183	102.644	104.49	92.556	80.117
281.21	37.159	33.961	77.159	99.533	103.687	89.016	75.313
281.37	38.95	34.983	77.313	101.873	105.346	92.752	77.631
281.54	35.674	28.74	70.751	94.047	101.014	80.674	70.003
281.71	36.056	31.782	75.738	96.518	99.771	86.078	74.474
281.88	33.352	29.583	76.517	92.561	98.868	79.934	70.055
282.04	31.182	30.468	72.578	93.622	95.424	83.534	73.512
282.21	29.905	32.553	72.762	94.081	96.696	82.333	71.487
282.38	33.563	33.991	76.233	100.354	101.628	86.354	75.98
282.54	31.15	34.765	80.732	98.403	99.04	83.886	75.853
282.71	34.091	37.157	78.872	99.916	100.311	87.454	79.41
282.88	33.046	32.837	72.562	95.727	97.595	80.551	75.024
283.04	35.423	32.379	69.961	98.17	99.401	85.181	78.983
