Lon	O-H-1153	O-P-1159	I-P-1205	I-H-1158	I-H-1204
264.97	63.35	35.647	20.273	26.372	23.998
265.14	59.602	32.108	14.602	21.987	22.426
265.31	59.886	33.501	16.018	19.611	20.49
265.47	54.999	28.648	11.626	20.725	18.131
265.64	55.475	29.661	8.749	20.519	15.947
265.81	55.52	29.608	7.267	21.641	15.443
265.98	53.984	27.028	3.742	23.423	17.138
266.14	52.26	24.106	2.952	23.435	16.49
266.31	53.593	29.45	8.231	23.297	17.406
266.48	49.575	22.608	6.29	19.872	17.762
266.65	49.935	25.572	4.704	15.33	18.056
266.81	45.207	17.273	1.394	7.899	14.185
266.98	49.866	21.283	4.635	11.701	17.151
267.15	52.711	20.733	7.623	15.447	20.941
267.32	54.908	23.512	10.16	15.072	22.017
267.48	56.366	22.278	14.135	20.509	27.981
267.65	55.401	26.291	10.126	19.609	23.478
267.82	51.275	23.034	8.957	17.484	21.572
267.99	51.059	27.136	10.136	17.774	19.18
268.15	44.292	19.831	3.336	15.249	13.139
268.32	40	23.594	2.594	11.33	7.198
268.49	39.814	23.705	1.32	12.441	8.353
268.66	41.288	26.464	-0.03	12.222	6.816
268.82	44.648	25.109	5.274	16.175	12.483
268.99	51.552	27.277	5.882	18.31	13.519
269.16	54.249	29.788	8.414	21.249	17.381
269.33	56.333	32.102	9.783	21.377	21.201
269.49	58.23	29.857	11.824	22.11	21.494
269.66	60.609	31.235	13.532	23.235	23.763
269.83	58.176	27.956	11.242	19.637	19.857
270	55.579	27.348	9.513	18.337	17.986
270.16	53.926	26.08	11.915	20.135	19.784
270.33	61.219	32.153	17.131	26.219	27.714
270.5	60.204	29.94	18.149	25.138	26.501
270.67	59.403	28.799	16.898	21.942	23.964
270.83	55.894	28.223	16.74	20.784	20.608
271	58.388	32.926	18.564	22.113	22.157
271.17	58.542	37.377	18.641	19.124	22.157
271.34	59.21	38.056	17.891	18.452	19.683
271.5	50.048	30.422	12.125	12.916	11.993
271.67	52.01	32.878	12.274	11.911	10.812
271.84	52.314	36.864	12.281	11.71	13.16
272.01	54.06	36.203	11.95	11.148	14.093
272.17	56.648	35.351	15.911	13.406	18.593
272.34	62.153	33.922	17.713	19.988	20.164
272.51	62.1	30.562	17.364	19.914	22.595
272.68	65.541	33.53	20.266	22.013	25.794
272.84	65.602	31.514	20.821	22.931	26.316
273.01	64.928	31.115	19.522	26.28	30.192
273.18	63.776	29.556	19.787	31.127	32.754
273.35	58.552	28.343	13.453	29.574	28.255
273.51	51.385	25.957	12.143	25.726	25.682
273.68	48.569	26.053	9.976	21.393	21.393
273.85	47.74	20.729	7.179	18.212	18.212
274.02	46.698	24.358	5.599	19.962	21.325
274.18	44.12	18.999	3.12	17.23	14.46
274.35	45.879	24.593	3.945	16.901	14.659
274.52	45.15	22.183	1.6	16.853	14.347
274.69	45.827	21.86	-2.349	14.563	13.772
274.85	43.783	21.475	-4.294	15.838	12.585
275.02	44.603	28.284	-0.891	19.273	11.581
275.19	41.607	21.058	-4.492	12.036	9.091
275.35	46.736	24.44	0.143	14.725	14.462
275.52	45.199	18.012	-1.955	12.375	11.892
275.69	47.926	20.267	0.849	7.212	11.959
275.86	48.04	16.369	1.15	4.095	9.677
276.02	54.2	19.596	5.189	8.299	15.684
276.19	48.25	13.502	2.151	5.052	18.107
276.36	56.279	19.609	10.872	11.389	22.686
276.53	56.241	22.593	9.703	12.208	26.714
276.69	61.14	30.623	13.799	13.744	26.975
276.86	60.096	29.964	16.019	17.865	29.426
277.03	60.258	31.543	17.576	23.587	31.368
277.19	53.001	26.429	11.473	14.638	22.726
277.36	58.484	29.286	13.165	16.539	21.374
277.53	52.603	24.581	7.955	12.614	18.284
277.7	53.495	26.275	10.858	13.792	19.198
277.86	42.853	16.194	6.205	6.381	15.304
278.03	46.115	21.312	9.499	8.169	18.851
278.2	44.989	21.582	10.274	4.516	16.252
278.37	49.288	27.211	17.156	12.266	23.079
278.53	50.363	28.099	15.649	12.484	24.308
278.7	50.483	27.307	16.021	14.032	23.263
278.87	47.767	21.02	10.459	10.635	17.097
279.03	52.108	27.13	11.624	15.35	17.635
279.2	41.432	16.531	2.41	9.794	9.135
279.37	44.191	18.685	1.422	10.334	9.63
279.54	41.834	15.658	-1.935	9.405	6.856
