Lon	O-H-1153	O-P-1159	I-P-1205	I-H-1158	I-H-1204
412.58	9323.336	4547.446	3319.259	3861.457	3410.644
412.74	9351.206	4569.701	3329.052	3875.019	3422.228
412.9	9368.872	4567.707	3323.476	3877.806	3423.3
413.06	9413.126	4595.357	3344.247	3894.961	3448.236
413.23	9424.384	4605.285	3360.263	3905.889	3455.692
413.39	9468.181	4630.06	3378.819	3926.983	3473.313
413.55	9507.332	4648.409	3396.661	3942.376	3492.705
413.71	9503.592	4663.625	3400.471	3945.998	3503.141
413.87	9450.709	4642.863	3387.424	3931.819	3485.402
414.04	9374.701	4616.492	3367.053	3901.591	3458.734
414.2	9347.411	4604.136	3356.916	3893.355	3449.707
414.36	9307.247	4585.215	3340.566	3874.138	3432.599
414.52	9312.745	4592.679	3347.701	3886.779	3437.46
414.68	9310.999	4600.79	3357.812	3896.658	3442.109
414.85	9278.646	4579.547	3348.899	3883.229	3426.437
415.01	9334.368	4605.785	3366.983	3901.17	3446.533
415.17	9421.035	4652.09	3404.695	3940.123	3482.321
415.33	9463.914	4682.233	3425.32	3968.298	3501.705
415.49	9523.461	4715.087	3450.197	3992.966	3522.241
415.66	9560.812	4731.702	3470.526	4003.262	3535.57
415.82	9584.744	4741.117	3469.326	4008.974	3539.04
415.98	9641.748	4775.276	3499.419	4038.397	3565.078
416.14	9621.881	4779.31	3501.057	4036.266	3564.969
416.3	9524.13	4738.581	3464.834	4003.504	3538.361
416.46	9390.585	4671.046	3415.431	3941.233	3491.563
416.63	9288.244	4630.738	3381.211	3906.914	3455.354
416.79	9144.553	4561.102	3325.311	3838.805	3403.596
416.95	9025.272	4511.107	3290.722	3799.678	3368.425
417.11	8948.605	4473.945	3259.737	3767.561	3339.429
417.27	8907.911	4456.911	3241.361	3754.976	3321.834
417.44	8885.539	4436.067	3231.309	3739.836	3305.199
417.6	8861.575	4430.531	3228.3	3741.915	3295.146
417.76	8828.172	4414.348	3222.249	3732.007	3286.601
417.92	8841.487	4438.266	3236.123	3756.464	3302.75
418.08	8894.845	4465.152	3255.647	3773.801	3322.46
418.24	8898.916	4474.993	3259.312	3781.542	3327.521
418.41	8875.775	4466.785	3258.159	3778.027	3324.269
418.57	8911.967	4499.736	3286.472	3800.263	3345.45
418.73	8923.082	4509.258	3291.268	3807.225	3354.301
418.89	8940.918	4514.929	3289.84	3814.137	3364.995
419.05	8878.534	4483.347	3273.534	3788.566	3339.116
419.21	8816.652	4463.541	3260.871	3771.805	3320.772
419.38	8772.779	4447.834	3249.581	3759.691	3304.394
419.54	8792.937	4460.706	3260.717	3767.827	3323.036
419.7	8802.928	4468.796	3264.169	3781.62	3324.037
419.86	8926.66	4536.539	3314.792	3836.1	3375.484
420.02	9023.883	4594.982	3362.576	3884.685	3421.652
420.18	9204.979	4692.968	3431.792	3969.319	3493.363
420.35	9331.177	4759.331	3475.583	4028.902	3542.528
420.51	9444.729	4828.718	3525.828	4083.092	3591.839
420.67	9470.55	4849.429	3540.363	4098.956	3601.682
420.83	9548.806	4897.717	3577.904	4128.795	3643.036
420.99	9538.124	4898.321	3582.047	4132.069	3648.508
421.15	9498.699	4891.61	3577.16	4116.973	3630.116
421.32	9352.684	4820.749	3519.86	4050.76	3577.398
421.48	9251.421	4778.838	3492.52	4010.267	3547.806
421.64	9121.454	4707.322	3442.388	3954.696	3504.762
421.8	8984.363	4642.33	3396.803	3899.825	3454.594
421.96	8828.098	4568.384	3340.812	3839.493	3397.691
422.12	8729.04	4520.809	3307.194	3802.787	3358.128
422.28	8651.435	4477.215	3277.336	3778.611	3336.237
422.45	8670.691	4499.691	3299.043	3805.889	3353.494
422.61	8736.519	4535.662	3322.509	3833.058	3377.322
422.77	8814.168	4592.136	3360.586	3875.256	3411.433
422.93	8897.119	4640.745	3400.823	3920.866	3447.812
423.09	8951.342	4670.848	3425.76	3952.957	3476.079
423.25	9059.065	4734.296	3466.549	4001.362	3515.911
423.42	9194.705	4820.628	3522.354	4068.321	3568.321
423.58	9257.658	4856.493	3546.548	4092.658	3594.504
423.74	9259.516	4867.549	3558.945	4106.802	3601.044
423.9	9287.922	4877.922	3573.472	4126.571	3611.318
424.06	9357.308	4923.626	3599.857	4162.307	3642.396
424.22	9372.208	4935.923	3614.505	4176.176	3647.78
424.38	9305.735	4912.889	3601.515	4153.416	3633.636
424.55	9249.61	4887.83	3589.928	4126.324	3623.555
424.71	9216.13	4877.526	3585.756	4119.416	3611.416
424.87	9208.97	4876.992	3584.761	4119.267	3615.354
425.03	9225.325	4895.82	3599.875	4127.116	3623.732
425.19	9231.286	4899.132	3610.637	4132.615	3623.473
425.35	9303.941	4949.6	3641.919	4170.128	3663.183
425.51	9385.567	4997.457	3682.061	4214.413	3700.655
425.68	9408.934	5016.396	3699.308	4237.802	3707.385
425.84	9444.888	5039.459	3719.096	4252.723	3727.712
426	9457.899	5055.602	3725.196	4259.383	3731.778
426.16	9425.3	5043.564	3717.047	4250.894	3733.971
426.32	9350.951	5015.336	3687.523	4220.962	3718.193
426.48	9247.645	4964.107	3651.392	4179.173	3682.689
426.64	9122.555	4901.357	3603.17	4123.907	3632.258
426.81	9075.041	4880.601	3583.931	4105.117	3621.601
426.97	9125.834	4913.648	3605.835	4137.076	3644.109
427.13	9124.225	4909.786	3614.215	4143.709	3648.017
427.29	9130.848	4923.013	3615.024	4152.771	3649.43
427.45	9190.787	4957.93	3643.853	4190.578	3677.919
427.61	9236.527	4993.219	3668.219	4215.109	3699.109
427.77	9254.044	5012	3679.286	4223.901	3710.45
427.93	9265.887	5030.096	3696.085	4238.008	3726.052
428.1	9181.596	4987.552	3665.079	4200.42	3695.277
428.26	9157.882	4991.057	3657.486	4194.574	3692.728
428.42	9119.193	4978.512	3654.062	4177.446	3679.644
428.58	9025.853	4937.71	3627.348	4137.622	3645.842
428.74	8893.45	4870.966	3575.263	4081.065	3592.45
428.9	8754.754	4798.523	3527.501	4023.885	3545.688
429.06	8540.832	4684.503	3442.338	3925.986	3457.722
429.22	8355.069	4596.904	3370.41	3853.696	3388.289
429.39	8046.492	4434.954	3260.525	3715.558	3271.382
429.55	7729.532	4264.07	3135.246	3574.576	3146.663
429.71	7454.474	4118.364	3024.024	3447.013	3034.705
429.87	7257.745	4014.701	2950.58	3362.393	2963.492
430.03	7159.678	3966.689	2908.832	3317.579	2923.337
430.19	7158.542	3969.696	2910.543	3319.674	2918.532
430.35	7220.042	4005.47	2935.042	3346.602	2942.778
430.51	7500.184	4160.656	3040.667	3477.887	3050.546
430.68	7984.566	4429.028	3231.698	3702.775	3245.193
430.84	8477.041	4694.481	3430.448	3931.756	3442.217
431	9069.407	5015.011	3664.055	4199.879	3672.978
431.16	9569.013	5295.024	3875.166	4441.837	3878.408
431.32	9895.625	5474.372	4004.867	4587.284	4011.68
431.48	10215.25	5651.283	4143.558	4736.426	4150.097
431.64	10403.891	5758.112	4225.661	4821.749	4230.936
431.8	10371.471	5743.328	4223.823	4808.823	4225.218
431.96	10395.482	5766.229	4233.691	4823.888	4239.009
432.13	10371.711	5760.403	4225.688	4809.634	4227.172
432.29	10377.074	5759.206	4220.162	4805.481	4223.107
432.45	10482.644	5826.282	4262.381	4861.93	4274.853
432.61	10468.805	5814.278	4258.926	4857.08	4268.157
432.77	10485.686	5833.85	4267.356	4876.18	4279.213
432.93	10449.805	5815.321	4251.793	4862.606	4269.991
433.09	10317.512	5747.875	4202.128	4803.831	4219.919
433.25	10096.648	5626.429	4115.692	4708.659	4136.835
433.41	9929.415	5546.415	4060.228	4639.074	4077.668
433.58	9866.137	5515.566	4036.609	4619.247	4048.038
433.74	9853.49	5518.403	4032.743	4613.26	4042.227
433.9	9847.001	5498.32	4025.43	4605.825	4033.914
434.06	9970.677	5579.238	4081.359	4667.502	4078.798
434.22	10156.574	5678.706	4152.453	4752.673	4145.157
434.38	10379.693	5809.748	4249.935	4867.726	4241.748
434.54	10542.013	5889.859	4303.123	4938.332	4301.804
434.7	10646.936	5940.463	4338.628	4976.419	4347.54
434.86	10817.262	6035.745	4405.536	5057.404	4417.712
435.02	11039.012	6167.133	4497.342	5162.825	4515.881
435.19	11193.925	6244.232	4555.957	5238.814	4581.935
435.35	11357.752	6341.917	4623.994	5314.357	4657.873
435.51	11555.06	6454.335	4707.159	5399.862	4740.17
435.67	11794.726	6591.243	4813.76	5511.683	4840.913
435.83	11897.543	6649.872	4866.389	5565.642	4878.696
435.99	11939.452	6676.275	4889.122	5585.594	4904.539
436.15	11830.925	6614.068	4849.925	5535.639	4860.254
436.31	11857.071	6639.478	4868.764	5550.907	4874.863
436.47	11810.576	6613.324	4864.697	5542.104	4864.653
436.63	11794.205	6602.721	4859.875	5538.809	4851.512
436.79	11646.07	6520.553	4791.179	5474.388	4793.377
436.96	11582.26	6499.875	4770.392	5448.535	4775.699
437.12	11483.374	6450.077	4733.846	5409.934	4735.472
437.28	11416.478	6417.566	4708.434	5383.193	4705.347
437.44	11248.057	6315.068	4634.09	5298.442	4634.002
437.6	11083.316	6225.635	4561.338	5215.13	4565.415
437.76	10787.552	6067.223	4439.475	5082.816	4453.146
437.92	10659.373	6003.274	4395.285	5022.307	4401.56
438.08	10528.956	5928.67	4345.275	4965.714	4352.703
438.24	10577.593	5957.318	4359.176	4986.066	4365.099
438.4	10640.163	5999.701	4379.954	5014.459	4394.108
438.56	10737.967	6067.319	4418.495	5065.253	4437.077
438.73	10934.925	6180.09	4495.684	5154.321	4514.189
438.89	11170.367	6306.444	4588.257	5262.84	4611.191
439.05	11276.635	6366.108	4635.547	5309.965	4655.328
439.21	11462.561	6472.66	4698.122	5390.023	4722.77
439.37	11486.675	6482.697	4705.719	5402.73	4736.796
439.53	11536.325	6509.456	4730.918	5429.149	4754.951
439.69	11597.906	6533.752	4754.488	5455.148	4778.401
439.85	11665.655	6569.424	4784.161	5488.545	4813.952
440.01	11719.747	6597.878	4803.362	5515.406	4833.12
440.17	11911.502	6698.788	4876.469	5606.261	4904.503
440.33	12029.659	6762.604	4933.274	5662.549	4955.56
440.49	12164.525	6839.723	4991.206	5719.899	5012.47
440.65	12309.65	6918.068	5047.419	5783.199	5077.529
440.82	12596.329	7077.021	5169.12	5912.67	5189.637
440.98	12638.822	7098.317	5192.768	5931.977	5197.911
441.14	12747.193	7168.896	5241.698	5982.654	5239.797
441.3	12789.703	7204.362	5265.23	6005.934	5271.384
441.46	12813.394	7209.998	5278.669	6015.976	5275.844
441.62	12902.348	7255.425	5315.326	6061.04	5314.095
441.78	12992.115	7313.774	5360.774	6108.895	5346.961
441.94	12920.332	7284.002	5332.343	6083.244	5317.046
442.1	12936.729	7302.476	5333.432	6096.982	5325.685
442.26	12889.791	7268.89	5315.165	6068	5309.363
442.42	12843.461	7242.878	5289.703	6050.351	5283.362
442.58	12853.486	7253.552	5285.805	6054.552	5294.859
442.74	12794.799	7230.26	5266.14	6026.7	5266.612
442.9	12705.569	7179.086	5224.789	5984.438	5225.844
443.06	12615.307	7130.022	5187.659	5942.813	5196.395
443.22	12647.878	7133.262	5197.471	5948.988	5208.372
443.39	12775.444	7207.302	5244.587	6007.653	5257.543
443.55	12868.505	7261.406	5288.164	6047.417	5296.12
443.71	12845.994	7253.456	5279.884	6035.346	5284.269
443.87	12853.741	7253.456	5274.016	6036.829	5281.664
444.03	12922.299	7286.508	5293.377	6064.355	5316.486
444.19	12947.224	7298.982	5301.345	6074.927	5321.872
444.35	12863.771	7271.233	5269.574	6048.815	5287.98
444.51	12757.269	7210.654	5226.291	6001.544	5243.082
444.67	12641.114	7150.246	5175.532	5951.565	5193.367
444.83	12612.605	7142.912	5176.044	5941.978	5197.714
444.99	12487.521	7075.115	5128.576	5886.016	5154.763
445.15	12382.37	7018.699	5092.227	5834.82	5109.897
445.31	12324.662	6978.409	5064.31	5805.838	5084.651
445.47	12336.01	6976.823	5076.681	5802.263	5091.582
445.63	12278.596	6957.53	5058.465	5783.289	5076.256
445.79	12347.367	6990.29	5091.729	5814.631	5107.51
445.95	12431.543	7025.861	5112.641	5857.07	5126.521
446.11	12594.753	7119.742	5186.325	5936.654	5192.434
446.28	12738.376	7198.805	5243.651	6009.662	5245.178
446.44	12869.735	7273.669	5297.218	6069.833	5302.625
446.6	13088.71	7389.974	5372.622	6178.15	5386.458
446.76	13215.237	7453.193	5419.512	6235.116	5430.765
446.92	13227.942	7462.041	5422.931	6243.887	5431.404
447.08	13262.923	7484.176	5437.703	6264.517	5440.693
447.24	13286.924	7497.946	5440.726	6276.935	5440.979
447.4	13325.832	7525.633	5456.436	6292.743	5465.974
447.56	13248.644	7494.348	5429.831	6260.37	5433.073
447.72	13078.689	7401.216	5361.645	6172.634	5364.326
447.88	13128.124	7424.245	5386.453	6183.585	5382.443
448.04	13215.925	7475.86	5413.695	6226.442	5425.651
448.2	13234.994	7491.203	5428.005	6228.961	5443.379
448.36	13274.919	7514.501	5437.919	6245.567	5464.601
448.52	13196.602	7467.932	5409.569	6205.646	5430.789
448.68	13252.771	7491.694	5428.826	6232.562	5454.452
448.84	13380.554	7571.84	5482.752	6289.291	5507.62
449	13476.109	7622.593	5521.483	6342.89	5548.428
449.16	13547.222	7668.618	5556.936	6375.871	5575.651
449.32	13633.524	7712.184	5587.382	6410.151	5608.92
449.48	13769.702	7776.548	5645.395	6470.307	5661.471
449.64	13881.098	7839.318	5692.01	6525.153	5705.417
449.8	14029.347	7929.292	5753.919	6595.006	5772.677
449.96	14151.548	7989.504	5806.329	6655.999	5823.296
450.12	14176.91	8013.338	5812.382	6661.866	5836.899
450.28	14185.684	8009.969	5814.793	6661.607	5841.959
450.44	14189.392	8012.194	5815.545	6669.6	5839.359
450.6	14111.284	7985.372	5792.13	6638.987	5820.262
450.77	14100.462	7989.33	5787.363	6636.231	5815.879
450.93	14017.723	7937.173	5751.844	6595.756	5778.745
451.09	13893.888	7877.789	5703.953	6543.503	5735.019
451.25	13794.046	7813.936	5663.683	6498.277	5690.057
451.41	13700.109	7764.977	5628.592	6461.988	5645.768
451.57	13540.171	7673.38	5562.6	6378.16	5584.138
451.73	13423.178	7606.2	5507.31	6321.892	5528.486
451.89	13337.335	7556.214	5472.027	6286.225	5501.742
452.05	13228.257	7504.29	5439.51	6233.081	5460.378
452.21	13104.216	7437.557	5388.842	6176.139	5404.842
452.37	12998.856	7393.57	5351.911	6138.186	5370.625
452.53	12952.779	7360.01	5329.625	6114.021	5356.878
452.69	13027.959	7416.036	5366.641	6166.102	5391.509
452.85	13024.899	7408.085	5369.173	6168.118	5391.81
453.01	13059.398	7420.97	5384.717	6177.189	5403.871
453.17	13117.74	7459.301	5405.532	6217.884	5428.301
453.33	13199.408	7501.595	5440.595	6251.573	5463.309
453.49	13281.078	7544.748	5472.737	6288.825	5500.253
453.65	13417.479	7629.6	5529.831	6354.171	5559.182
453.81	13402.011	7620.186	5525.362	6348.571	5552.395
453.97	13510.464	7693.75	5573.497	6400.959	5598.541
454.13	13546.327	7723.799	5584.579	6423.7	5607.084
454.29	13550.799	7717.426	5578.888	6422.745	5605.954
454.45	13630.937	7766.3	5608.531	6473.278	5639.519
454.61	13702.404	7810.349	5638.315	6500.371	5665.645
454.77	13666.918	7788.171	5617.919	6476.556	5645.083
454.93	13743.09	7828.793	5644.672	6510.331	5680.133
455.09	13797.978	7863.89	5667.484	6539.264	5704.67
455.25	13910.853	7921.699	5716.479	6588.776	5754.49
455.41	14034.828	7986.235	5767.455	6638.136	5803.191
455.57	14102.959	8024.355	5800.234	6660.53	5834.069
455.73	14102.757	8018.604	5795.516	6662.592	5831.911
455.89	14135.883	8046.817	5824.586	6686.026	5856.136
456.05	14335.701	8158.185	5908.503	6779.536	5938.306
456.21	14390.464	8190.761	5927.123	6803.42	5959.332
456.37	14414.644	8202.929	5941.204	6818.435	5972.281
456.53	14531.277	8284.584	6000.024	6881.024	6025.595
456.69	14583.4	8314.192	6024.291	6907.587	6055.631
456.85	14574.044	8323.22	6023.319	6901.725	6050.428
457.01	14632.714	8346.011	6040.286	6932.769	6077.121
457.17	14485.923	8264.241	5981	6862.351	6019.406
457.33	14486.234	8244.586	5974.553	6852.795	6020.751
457.49	14453.06	8231.862	5952.093	6838.983	6001.356
457.65	14257.164	8120.966	5865.087	6747.768	5919.329
457.81	14199.688	8092.248	5840.435	6728.908	5887.237
457.97	14298.771	8144.903	5887.353	6784.584	5931.485
458.13	14306.363	8165.429	5898.847	6790.528	5944.066
458.29	14337.424	8193.973	5913.918	6812.248	5951.589
458.45	14472.441	8292.957	5985.408	6892.254	6010.891
458.61	14557.993	8345.575	6028.773	6934.355	6050.223
458.77	14670.475	8416.222	6081.727	6988.486	6101.101
458.93	14622.814	8393.693	6055.836	6967.177	6078.869
459.09	14551.732	8353.7	6027.689	6932.777	6058.359
459.25	14441.024	8292.607	5976.727	6879.628	5998.705
459.41	14457.829	8295.093	5984.642	6889.378	6006.961
459.57	14423.937	8272.619	5965.355	6872.52	5998.366
459.73	14389.809	8258.326	5951.084	6855.996	5992.567
459.89	14504.125	8325.905	5994.861	6915.872	6046.202
460.05	14718.225	8454.127	6089.346	7016.105	6144.237
460.21	14977.684	8602.717	6191.717	7136.508	6250.003
460.37	15205.351	8724.769	6283.285	7239.582	6338.043
460.53	15331.235	8800.137	6332.389	7297.972	6392.741
460.69	15400.483	8846.582	6361.802	7334.318	6413.835
460.85	15544.819	8932.007	6429.885	7409.006	6480.567
461.01	15660.971	8987.641	6477.454	7459.817	6524.081
461.17	15653.486	8977.903	6473.76	7457.76	6518.244
461.33	15618.831	8957.502	6464.37	7444.93	6502.996
461.49	15745.415	9041.261	6520.107	7519.536	6568.415
461.65	15853.919	9109.953	6566.359	7566.216	6613.117
461.81	15929.49	9140.633	6593.589	7594.204	6645.369
461.96	16002.808	9178.885	6615.116	7626.094	6666.621
462.12	16025.641	9202.761	6626.267	7630.047	6674.794
462.28	16188.17	9304.114	6691.862	7702.708	6738.093
462.44	16279.376	9363.618	6734.859	7761.848	6780.002
462.6	16292.762	9370.728	6732.937	7760.971	6782.025
462.76	16319.3	9387.937	6746.388	7792.586	6790.959
462.92	16292.65	9380.33	6735.287	7781.429	6785.034
463.08	16310.94	9390.478	6744.27	7792.402	6799.259
463.24	16312.415	9386.294	6746.173	7803.481	6805.942
463.4	16252.429	9358.165	6732.616	7788.132	6788.704
463.56	16183.528	9326.55	6702.737	7746.989	6758.462
463.72	16205.863	9329.489	6718.402	7754.621	6767.325
463.88	16190.941	9326.182	6712.831	7737.04	6775.018
464.04	16314.61	9410.764	6775.896	7802.885	6837.522
464.2	16329.276	9430.144	6779.342	7807.023	6838.891
464.36	16302.605	9426.056	6772.639	7792.331	6826.441
464.52	16335.308	9438.33	6775.176	7804.616	6843.912
464.68	16453.043	9490.823	6819.779	7855.075	6890.328
464.84	16556.881	9556.518	6863.694	7905.924	6934.979
465	16722.419	9647.232	6934.43	7987.969	6995.441
465.16	16812.043	9699.901	6974.681	8026.714	7033.132
465.32	16929.402	9760.676	7032.621	8094.116	7084.797
465.48	17097.694	9851.09	7102.354	8177.376	7152.101
465.64	17112.001	9859.583	7115.264	8187.659	7162.912
465.8	17128.4	9879.246	7113.191	8198.103	7177.224
465.96	17027.998	9825.909	7084.712	8152.931	7139.877
466.12	17030.94	9831.985	7092.435	8158.314	7152.249
466.27	16923.371	9753.196	7039.339	8109.405	7094.767
466.43	17131.556	9872.908	7116.392	8200.996	7174.095
466.59	17050.934	9824.362	7071.867	8164.615	7138.944
466.75	17223.163	9930.23	7138.724	8246.757	7205.043
466.91	17375.673	10012.222	7214.453	8324.87	7266.321
467.07	17620.52	10157.828	7310.763	8443.015	7371.015
467.23	17778.018	10236.766	7371.48	8518.381	7432.271
467.39	18061.313	10409.566	7487.599	8642.489	7550.446
467.55	18031.448	10397.315	7481.7	8632.909	7547.283
467.71	18325.893	10574.584	7609.101	8769.222	7673.134
467.87	18572.528	10712.549	7719.835	8891.308	7773.813
468.03	18897.742	10901.862	7848.027	9042.17	7901.335
468.19	19056.341	10986.694	7907.913	9119.122	7964.749
468.35	19185.942	11066.062	7960.799	9174.502	8014.458
468.51	19229.157	11083.64	7986.486	9210.267	8039.893
468.67	19358.586	11146.662	8036.3	9266.926	8084.157
468.83	19632.703	11308.725	8155.615	9401.198	8200.45
468.99	19606.908	11294.325	8134.688	9366.809	8189.666
469.15	19559.199	11261.2	8125.936	9346.684	8185.716
469.3	19511.356	11244.049	8106.258	9330.95	8172.576
469.46	19411.416	11184.317	8059.603	9282.328	8130.724
469.62	19385.801	11185.086	8045.273	9268.559	8125.834
469.78	19367.299	11182.925	8042.299	9256.804	8125.332
469.94	19191.556	11070.402	7960.304	9173.172	8045.919
470.1	19251.027	11108.763	7985.28	9217.016	8079.39
470.26	19346.139	11173.512	8016.424	9263.842	8109.424
470.42	19496.531	11249.696	8077.289	9331.048	8165.069
470.58	19754.559	11402.328	8184.889	9451.648	8270.856
470.74	20045.307	11570.998	8304.833	9593.361	8388.086
470.9	20416.721	11784.095	8452.37	9770.25	8540.403
471.06	20765.659	11992.405	8601.317	9930.416	8688.79
471.22	21080.872	12174.399	8736.74	10081.564	8812.422
471.38	21378.551	12336.902	8856.188	10211.924	8931.792
471.54	21796.591	12585.811	9025.558	10408.844	9102.778
471.69	22085.824	12749.187	9145.043	10555.637	9223.725
471.85	22144.904	12778.739	9162.222	10576.409	9241.816
472.01	22144.23	12787.286	9169.648	10578.703	9245.164
472.17	22216.081	12828.818	9201.708	10621.61	9273.786
472.33	22136.265	12778.44	9171.396	10590.957	9237.638
472.49	22103.206	12777.745	9157.317	10587.415	9231.327
472.65	22000.641	12715.08	9110.894	10542.059	9190.498
472.81	22004.899	12727.789	9109.691	10538.822	9194.515
472.97	22137.529	12809.156	9172.045	10601.76	9252.045
473.13	22236.227	12861.622	9196.139	10650.81	9291.337
473.29	22322.557	12904.116	9218.742	10689.028	9327.71
473.45	22503.196	13011.667	9282.448	10760.943	9410.173
473.61	22706.317	13118.03	9357.932	10848.129	9484.7
473.76	23053.822	13323.79	9493.734	11005.987	9632.405
473.92	23277.223	13457.2	9581.101	11106.772	9719.123
474.08	23481.031	13573.635	9661.91	11219.965	9808.097
474.24	23748.465	13731.652	9781.355	11353.707	9923.334
474.4	23960.062	13860.666	9872.632	11460.973	10016.798
474.56	24258.404	14030.997	10000.349	11603.909	10137.316
474.72	24366.345	14096.181	10049.247	11663.346	10193.192
474.88	24348.484	14079.055	10054.693	11655.792	10186.517
475.04	24474.631	14150.928	10115.686	11717.829	10245.785
475.2	24596.389	14218.741	10164.137	11769.367	10292.884
475.36	24621.982	14239.861	10179.917	11781.664	10308.081
475.51	24635.617	14253.704	10188.506	11784.902	10326.264
475.67	24637.695	14256.848	10193.781	11790.166	10329.463
475.83	24734.661	14317.453	10242.102	11835.068	10368.65
475.99	24933.638	14433.54	10328.54	11935.386	10456.793
476.15	25100.99	14519.341	10389.176	12013.704	10521.704
476.31	25412.438	14698.58	10519.602	12155.151	10659.723
476.47	25850.361	14949.021	10700.878	12364.922	10837.669
476.63	26359.547	15232.021	10909.394	12607.801	11027.229
476.79	26752.13	15460.02	11057.24	12797.503	11190.206
476.95	27136.059	15681.543	11205.07	12988.884	11345.543
477.11	27415.869	15837.077	11305.813	13113.462	11456.407
477.26	27692.29	16013.994	11419.499	13263.093	11577.643
477.42	27864.782	16110.035	11482.727	13352.618	11646.2
477.58	27850.065	16099.46	11473.581	13350.494	11641.878
477.74	27819.973	16089.138	11466.006	13338.358	11639.677
477.9	27777.382	16062.954	11455.624	13319.57	11620.668
478.06	27766.715	16050.912	11453.142	13308.22	11617.802
478.22	27864.133	16128.428	11504.879	13355.33	11652.78
478.38	27974.888	16190.075	11550.768	13398.372	11700.658
478.54	28162.92	16295.525	11633.163	13483.832	11769.943
478.69	28410.733	16433.084	11724.237	13596.369	11858.698
478.85	28650.601	16575.777	11811.919	13711.337	11956.568
479.01	29035.386	16810.574	11978.386	13900.848	12121.024
479.17	29263.77	16961.561	12078.802	14017.517	12219.802
479.33	29407.355	17038.586	12137.696	14096.641	12283.058
479.49	29483.096	17081.766	12178.437	14136.844	12323.832
479.65	29507.729	17117.466	12187.301	14155.301	12332.092
479.81	29602.037	17175.74	12238.829	14204.092	12385.587
479.97	29607.46	17185.284	12256.657	14213.844	12398.063
480.13	29652.441	17201.047	12270.991	14227.024	12412.211
480.28	29796.313	17275.5	12330.522	14295.005	12478.698
480.44	30006.296	17401.141	12399.395	14386.9	12560.044
480.6	30234.619	17524.839	12483.905	14490.761	12640.213
480.76	30471.56	17643.814	12586.463	14593.265	12751.111
480.92	30685.053	17773.69	12665.02	14685.724	12842.471
481.08	30979.157	17942.573	12778.848	14817.694	12966.266
481.24	31059.544	17997.587	12815.51	14861.049	13009.664
481.4	31180.344	18069.696	12865.179	14910.926	13063.981
481.55	31163.289	18052.718	12878.641	14913.938	13070.553
481.71	31187.434	18077.489	12896.796	14931.027	13087.51
481.87	31141.61	18062.071	12882.631	14922.455	13070.719
482.03	31129.027	18055.785	12877.378	14922.73	13063.961
482.19	31068.783	18017.156	12865.233	14897.058	13041.058
482.35	31216.244	18098.783	12925.739	14958.167	13101.991
482.51	31325.98	18163.233	12972.893	15014.563	13143.354
482.67	31445.384	18244.627	13036.593	15079.088	13202.516
482.82	31432.222	18226.001	13035.221	15065.507	13206.298
482.98	31509.354	18273.826	13061.661	15094.969	13237.519
483.14	31524.751	18282.53	13074.476	15102.168	13239.838
483.3	31612.302	18343.59	13108.128	15141.391	13263.457
483.46	31558.606	18315.375	13081.299	15117.519	13238.925
483.62	31513.36	18282.448	13056.129	15097.701	13217.349
483.78	31513.688	18282.807	13046.402	15099.984	13210.138
483.94	31651.565	18375.95	13099.565	15177.928	13259.642
484.09	31743.755	18426.855	13141.744	15231.854	13301.788
484.25	31763.791	18449.89	13153.374	15252.747	13322.198
484.41	31623.138	18369.138	13083.281	15176.292	13271.368
484.57	31443.169	18271.511	13007.608	15098.411	13199.158
484.73	31076.555	18075.655	12867.291	14923.379	13057.005
484.89	30465.093	17720.993	12612.872	14618.004	12806.136
485.05	29730.953	17290.799	12315.843	14257.249	12503.139
485.2	28975.721	16850.215	12001.567	13892.369	12184.633
485.36	28251.924	16412.867	11701.385	13534	11870
485.52	27712.843	16093.887	11478.074	13285.624	11646.283
485.68	27305.384	15844.44	11301.572	13086.539	11471.287
485.84	27141.994	15732.005	11234.742	13001.104	11385.543
486	27420.626	15885.878	11338.658	13127.625	11480.68
486.16	27887.549	16156.022	11518.802	13355.758	11666.659
486.31	28399.445	16458.015	11732.29	13602.971	11882.356
486.47	29039.598	16843.146	11993.399	13913.784	12156.465
486.63	29589.551	17157.66	12220.726	14183.319	12385.078
486.79	30206.591	17528.558	12485.053	14483.943	12642.8
486.95	30816.146	17883.421	12736.552	14771.497	12892.332
487.11	31227.237	18140.809	12902.665	14969.511	13082.17
487.27	31548.269	18330.972	13031.489	15115.445	13224.675
487.42	31880.587	18529.324	13159.444	15279.565	13354.642
487.58	32018.107	18612.589	13223.392	15348.183	13413.237
487.74	32152.507	18706.519	13282.045	15414.474	13472.013
487.9	32087.565	18666.223	13240.499	15377.641	13445.949
488.06	31976.543	18612.267	13183.488	15326.949	13402.114
488.22	31880.822	18546.074	13145.8	15284.13	13358.811
488.38	31872.181	18537.927	13145.147	15293.971	13356.477
488.53	31895.117	18552.545	13157.765	15297.677	13367.435
488.69	32116.912	18678.266	13241.968	15393.034	13465.65
488.85	32451.898	18877.459	13375.602	15548.833	13601.097
489.01	32948.15	19166.601	13595.008	15779.92	13813.546
489.17	33407.186	19450.372	13783.064	16008.382	14016.294
489.33	33859.823	19719.021	13973.933	16230.625	14208.778
489.48	34184.746	19922.615	14113.55	16376.802	14348.45
489.64	34380.457	20038.69	14203.712	16467.92	14448.844
