Lon	O-P-1210	O-H-1209	I-P-1220	I-H-1212	I-P-1213	I-H-1219
420.51	7098.982	7000.081	4068.531	3988.092	4190.685	4060.092
420.67	7122.396	7018.659	4078.022	4000.11	4204.528	4071
420.83	7182.267	7072.992	4109.047	4031.553	4247.245	4102.717
420.99	7172.299	7068.343	4112.673	4022.145	4249.201	4100.992
421.15	7140.776	7037.742	4096.654	4014.984	4234.589	4082.765
421.32	7033.936	6927.299	4025.035	3953.365	4169.343	4011.727
421.48	6956.97	6853.893	3994.784	3923.311	4145.816	3976.322
421.64	6849.96	6758.399	3938.553	3863.147	4089.278	3924.454
421.8	6743.055	6662.836	3886.012	3810.803	4034.407	3875.154
421.96	6622.186	6546.494	3823.087	3753.878	3971.439	3816.417
422.12	6541.403	6466.062	3779.436	3719.348	3926.688	3770.644
422.28	6476.644	6408.38	3752.49	3688.028	3899.919	3743.886
422.45	6493.603	6420.549	3775.592	3711.373	3920.472	3766.581
422.61	6538.783	6463.135	3793.794	3738.212	3945.179	3793.585
422.77	6604.246	6521.608	3836.389	3776.125	3988.344	3833.4
422.93	6665.932	6565.053	3873.295	3819.515	4030.306	3867.02
423.09	6706.914	6610.694	3903.364	3843.144	4058.046	3890.749
423.25	6781.417	6684.362	3950.362	3887.878	4110.889	3944.439
423.42	6881.046	6780.431	4010.112	3954.156	4174.024	4008.881
423.58	6924.581	6827.834	4033.263	3979.043	4203.856	4033.493
423.74	6925.066	6831	4046.176	3987.758	4211.45	4036.681
423.9	6939.329	6846.845	4055.087	4002.801	4230.032	4049.999
424.06	6990.945	6907.956	4090.604	4035.527	4267.703	4078.78
424.22	7001.989	6915.879	4102.451	4050.516	4281.176	4088.22
424.38	6961.307	6872.383	4085.801	4039.076	4259.12	4070.724
424.55	6918.731	6837.148	4061.83	4015.698	4240.027	4041.709
424.71	6892.273	6805.196	4052.196	4004.284	4231.537	4034.394
424.87	6888.421	6804.772	4053.981	4000.465	4231.475	4038.3
425.03	6906.04	6809.864	4071.325	4011.984	4247.457	4050.402
425.19	6905.286	6807.791	4078.494	4015.923	4252.736	4066.154
425.35	6969.139	6864.391	4119.743	4048.798	4294.293	4106.952
425.51	7040.358	6924.534	4157.215	4077.193	4336.688	4146.765
425.68	7066.44	6946.835	4179.462	4092.824	4356.385	4169.176
425.84	7098.624	6981.525	4203.349	4114.536	4377.459	4189.162
426	7104.943	6975.449	4208.866	4130.053	4387.02	4203.723
426.16	7073.806	6955.432	4190.399	4117.982	4372.157	4193.223
426.32	7021.6	6902.259	4161.655	4088.995	4344.072	4160.819
426.48	6934.261	6814.788	4115.03	4049.645	4301.36	4111.7
426.64	6828.104	6717.027	4061.126	4000.247	4250.753	4055.676
426.81	6782.096	6667.37	4042.557	3985.876	4227.788	4034.217
426.97	6809.186	6693.933	4065.944	4010.164	4255.922	4058.735
427.13	6806.006	6703.632	4064.973	4004.556	4258.556	4056.325
427.29	6807.738	6709.848	4075.485	4016.189	4265.507	4063.837
427.45	6850.062	6755.996	4102.259	4050.061	4296.281	4090.71
427.61	6889.241	6794.428	4125.736	4075.011	4321.56	4124.505
427.77	6893.802	6813.055	4140.55	4092.044	4340.945	4135.989
427.93	6911.92	6834.118	4153.47	4103.536	4356.679	4148.151
428.1	6859.113	6779.948	4118.915	4072.256	4319.442	4111.805
428.26	6852.53	6762.596	4118.431	4072.277	4317.157	4107.135
428.42	6829.985	6728.314	4105.699	4059.655	4306.446	4092.127
428.58	6764.633	6653.688	4076.512	4021.04	4270.49	4057.743
428.74	6665.383	6561.12	4016.878	3965.032	4213.933	3999.043
428.9	6563.292	6457.885	3956.094	3911.171	4145.809	3939.611
429.06	6402.305	6298.876	3858.107	3815.052	4044.217	3845.766
429.22	6261.322	6158.597	3782.872	3738.783	3960.805	3771.531
429.39	6029.415	5924.58	3649.833	3607.174	3827.371	3637.316
429.55	5783.169	5687.389	3507.751	3471.839	3675.576	3497.685
429.71	5576.035	5487.859	3387.441	3351.375	3548.321	3376.771
429.87	5422.723	5333.844	3307.833	3269.855	3458.558	3289.371
430.03	5353.019	5254.953	3265.128	3222.601	3416.294	3247.03
430.19	5339.74	5237.367	3262.828	3229.685	3419.268	3251.224
430.35	5373.954	5282.35	3290.328	3253.075	3450.811	3271.526
430.51	5577.601	5485.25	3414.316	3374.931	3577.964	3392.425
430.68	5931.402	5833.599	3633.929	3585.819	3813.578	3604.314
430.84	6289.932	6185.888	3850.294	3801.767	4046.25	3828.843
431	6732.989	6621.121	4113.275	4057.253	4322.33	4089.286
431.16	7106.606	6985.024	4342.353	4283.408	4560.639	4317.562
431.32	7354.065	7231.999	4484.9	4419.252	4712.636	4459.9
431.48	7598.031	7462.119	4629.778	4569.119	4864.899	4617.778
431.64	7739.518	7603.914	4720.112	4653.848	4959.1	4699.507
431.8	7722.867	7584.625	4706.965	4640.328	4939.977	4688.548
431.96	7746.888	7607.24	4722.031	4655.592	4958.471	4696.504
432.13	7729.128	7585.568	4709.754	4650.414	4949.842	4687.425
432.29	7735.074	7595.25	4709.865	4656.437	4951.887	4689.129
432.45	7823.798	7674.963	4765.04	4705.963	5007.502	4738.974
432.61	7827.509	7675.553	4761.64	4699.904	5005.684	4729.036
432.77	7845.037	7693.433	4772.609	4714.982	5017.444	4748.037
432.93	7824.068	7670.09	4761.145	4705.782	5005.541	4736.321
433.09	7720.82	7569.611	4697.974	4651.292	4939.688	4676.084
433.25	7555.439	7416.582	4604.692	4554.473	4836.692	4580.703
433.41	7431.931	7288.634	4536.074	4482.096	4767.81	4512.47
433.58	7373.544	7238.115	4512.379	4450.247	4739.544	4492.785
433.74	7345.985	7216.623	4503.227	4439.051	4731.842	4479.93
433.9	7330.232	7197.661	4492.935	4426.76	4724.803	4475.979
434.06	7429.106	7283.744	4544.59	4484.809	4781.864	4533.029
434.22	7565.827	7417.651	4626.64	4556.816	4868.266	4614.959
434.38	7732.319	7575.133	4727.671	4658.836	4978.001	4727.056
434.54	7842.079	7691.705	4788.914	4717.2	5044.607	4786.947
434.7	7922.068	7765.76	4828.716	4765.288	5091.529	4823.925
434.86	8044.053	7891.041	4904.426	4846.998	5173.437	4899.426
435.02	8211.243	8056.386	5002.859	4951.474	5279.737	5003.21
435.19	8322.034	8166.65	5075.99	5013.595	5354.847	5074.199
435.35	8446.73	8289.192	5151.796	5096.236	5431.972	5149.95
435.51	8595.565	8439.082	5241.654	5185.895	5525.917	5233.928
435.67	8779.793	8613.375	5358.045	5301.738	5645.122	5351.935
435.83	8855.323	8684.466	5410.773	5354.664	5700.532	5403.971
435.99	8896.034	8707.506	5436.089	5376.44	5724.748	5430.243
436.15	8813.452	8630.507	5394.09	5330.991	5672.903	5371.815
436.31	8828.863	8659.456	5417.357	5353.577	5701.533	5392.962
436.47	8799.126	8628.401	5405.126	5343.785	5693.829	5386.06
436.63	8791.27	8612.765	5394.974	5334.754	5694.358	5376.205
436.79	8684.158	8508.07	5323.696	5271.498	5625.894	5307.883
436.96	8646.227	8479.238	5295.601	5251.557	5605.667	5286.018
437.12	8577.198	8418.692	5257.791	5212.714	5566.934	5248.484
437.28	8531.522	8372.973	5229.599	5185.028	5541.995	5234.786
437.44	8406.98	8240.607	5145.64	5101.486	5456.321	5151.98
437.6	8281.745	8107.503	5073.712	5022.152	5371.734	5073.932
437.76	8055.047	7884.365	4939.904	4892.805	5225.706	4940.399
437.92	7951.252	7782.373	4892.933	4834.516	5168.054	4881.021
438.08	7850.428	7675.484	4842.231	4772.67	5097.176	4823.384
438.24	7874.44	7697.736	4854.67	4793.308	5111.989	4832.956
438.4	7918.559	7741.328	4878.58	4823.35	5141.437	4851.646
438.56	7979.868	7812.748	4918.165	4868.89	5181.594	4894.473
438.73	8124.222	7956.266	4994.134	4947.826	5270.618	4971.156
438.89	8296.268	8122.554	5102.433	5051.796	5384.279	5077.334
439.05	8374.063	8205.141	5143.229	5097.185	5430.701	5119.767
439.21	8503.452	8330.088	5223.023	5178.187	5525.484	5194.715
439.37	8525.818	8355.401	5236.566	5183.796	5540.566	5211.214
439.53	8552.775	8381.962	5257.885	5198.544	5558.368	5233.885
439.69	8600.785	8421.664	5285.335	5221.401	5587.269	5256.027
439.85	8656.084	8473.446	5326.073	5261.062	5632.622	5296.051
440.01	8695.857	8516.472	5352.23	5286.23	5656.978	5315.582
440.17	8837.975	8646.458	5433.107	5374.162	5746.381	5405.415
440.33	8934.56	8740.231	5483.329	5428.582	5800.077	5456.527
440.49	9041.063	8831.437	5545.031	5491.228	5865.69	5514.789
440.65	9163.958	8946.244	5613.167	5558.375	5944.947	5582.892
440.82	9377.439	9165.263	5742.329	5690.637	6081.758	5717.494
440.98	9408.295	9199.636	5753.109	5710.405	6094.163	5731.053
441.14	9500.963	9281.27	5807.083	5765.413	6155.171	5789.501
441.3	9546.604	9329.813	5838.538	5789.988	6187.153	5816.483
441.46	9560.482	9345.317	5854.339	5801.548	6196.493	5831.702
441.62	9625.007	9411.556	5893.864	5837.666	6236.897	5876.029
441.78	9696.477	9468.345	5937.104	5884.532	6275.873	5918.291
441.94	9650.112	9412.178	5913.519	5852.222	6248.42	5879.42
442.1	9664.301	9425.487	5927.52	5853.762	6263.916	5891.169
442.26	9620.099	9387.923	5899.329	5823.835	6236.077	5863.692
442.42	9586.329	9340.746	5878.868	5801.768	6214.032	5842.384
442.58	9595.882	9351.134	5874.805	5806.915	6219.244	5845.673
442.74	9552.744	9312.217	5852.14	5788.667	6194.425	5819.876
442.9	9474.91	9249.372	5804.075	5744.493	6153.921	5772.57
443.06	9412.725	9178.923	5758.758	5706.67	6113.527	5735.549
443.22	9430.669	9189.878	5769.9	5724.119	6115.175	5745.207
443.39	9517.082	9268.599	5819.291	5782.016	6169.489	5800.302
443.55	9579.691	9341.23	5850.439	5815.955	6216.241	5842.846
443.71	9556.906	9316.467	5842.192	5801.269	6200.258	5831.642
443.87	9551.082	9306.95	5829.566	5786.818	6187.412	5825.049
444.03	9595.058	9344.289	5859.948	5821.267	6215.64	5857.53
444.19	9599.642	9356.389	5863.62	5823.905	6219.62	5865.169
444.35	9530.639	9298.639	5827.706	5785.288	6186.826	5831.09
444.51	9457.291	9225.16	5785.841	5733.116	6137.401	5785.588
444.67	9372.554	9130.312	5735.466	5689.663	6073.971	5727.598
444.83	9359.747	9113.329	5724.165	5687.22	6074.187	5723.253
444.99	9264.235	9024.895	5679.28	5640.862	6027.631	5673.17
445.15	9192.326	8954.612	5633.491	5586.611	5977.579	5622.952
445.31	9149.552	8917.596	5606.75	5565.563	5946.706	5599.101
445.47	9162.098	8928.34	5616.318	5572.472	5948.362	5601.34
445.63	9120.629	8894.388	5589.387	5554.355	5916.421	5580.816
445.79	9169.103	8956.268	5623.279	5580.795	5950.048	5612.081
445.95	9225.092	9004.257	5655.521	5608.619	5980.576	5640.312
446.11	9359.347	9134.599	5726.841	5683.566	6068.775	5721.094
446.28	9468.673	9228.321	5790.618	5751.277	6136.376	5781.035
446.44	9563.471	9317.449	5853.031	5802.679	6195.976	5839.855
446.6	9725.513	9467.93	5941.48	5895.941	6300.029	5937.216
446.76	9815.831	9558.205	5994.666	5945.809	6366.93	5985.138
446.92	9817.755	9554.854	6003.92	5951.568	6371.392	5992.931
447.08	9836.264	9583.34	6017.736	5959.385	6383.275	6001.571
447.24	9841.968	9578.539	6023.737	5963.869	6382.55	6000.045
447.4	9862.6	9616.491	6037.479	5978.425	6401.26	6022.15
447.56	9812.348	9547.381	5999.26	5950.205	6369.545	5984.974
447.72	9678.535	9423.458	5918.513	5863.502	6290.293	5902.7
447.88	9709.409	9445.234	5931.487	5881.157	6309.772	5917.596
448.04	9775.728	9509.662	5969.992	5919.2	6356.629	5957.299
448.2	9794.522	9526.565	5982.972	5937.653	6372.247	5976.203
448.36	9831.336	9571.952	6002.128	5957.666	6388.985	6000.337
448.52	9769.8	9509.141	5969.328	5922.119	6352.316	5964.053
448.68	9816.046	9564.793	5997.342	5945.101	6372.947	5987.332
448.84	9908.389	9646.104	6058.994	6010.51	6432.708	6050.291
449	9982.813	9716.527	6115.758	6066.197	6476.505	6103.373
449.16	10037.167	9772.727	6149.442	6101.31	6507.2	6140.255
449.32	10098.601	9829.327	6189.437	6134.469	6551.59	6171.513
449.48	10193.582	9917.538	6251.395	6197.9	6616.889	6229.416
449.64	10283.361	9998.395	6302.9	6251.626	6672.79	6284.23
449.8	10386.457	10104.963	6377.853	6327.171	6756.402	6362.907
449.96	10490.515	10198.208	6434.801	6380.669	6816.471	6416.043
450.12	10504.393	10218.283	6444.053	6385.019	6834.426	6425.371
450.28	10511.288	10214.805	6443.31	6376.827	6833.815	6419.233
450.44	10508.656	10217.403	6442.644	6383.172	6826.996	6421.106
450.6	10460.976	10170.339	6407.987	6350.207	6791.987	6390.767
450.77	10446.627	10156.956	6409.539	6345.363	6783.605	6384.396
450.93	10383.943	10093.349	6362.163	6305.042	6738.031	6334.393
451.09	10290.646	10001.723	6310.657	6258.833	6688.767	6285.69
451.25	10214.859	9921.76	6260.947	6215.65	6635.408	6236.167
451.41	10142.098	9851.416	6216.482	6186.856	6601.317	6200.395
451.57	10023.754	9731.534	6138.105	6111.841	6526.633	6131.787
451.73	9929.65	9634.53	6082.849	6055.42	6469.354	6074.189
451.89	9866.412	9574.412	6030.522	6014.896	6433.774	6040.027
452.05	9779.345	9502.905	5989.774	5969.905	6386.169	6000.499
452.21	9681.996	9417.644	5928.304	5904.062	6316.48	5940.447
452.37	9614.031	9352.23	5893.691	5862.922	6282.878	5898.306
452.53	9584.01	9314.296	5875.46	5841.856	6259.856	5875.823
452.69	9642.959	9378.037	5918.091	5883.234	6302.179	5919.674
452.85	9636.305	9380.7	5917.777	5874.678	6303.931	5923.415
453.01	9662.926	9404.376	5937.047	5892.255	6316.299	5933.31
453.17	9711.653	9439.74	5965.873	5920.049	6347.851	5963.774
453.33	9776.825	9499.068	6013.232	5968.397	6396.705	6000.09
453.49	9836.88	9555.473	6045.869	6000.528	6427.935	6037.44
453.65	9930.062	9654.853	6107.215	6052.578	6486.028	6098.732
453.81	9920.714	9635.395	6099.549	6044.45	6480.208	6079.296
453.97	9995.574	9707.97	6158.047	6106.355	6540.245	6131.278
454.13	10020.854	9734.7	6177.14	6115.271	6558.238	6145.81
454.29	10018.283	9729.096	6178.822	6109.283	6556.184	6143.745
454.45	10065.992	9784.937	6205.926	6140.673	6586.937	6183.607
454.61	10111.162	9831.953	6242.206	6174.777	6626.03	6229.019
454.77	10078.501	9805.578	6221.556	6164.611	6607.358	6213.743
454.93	10127.188	9852.726	6258.935	6205.617	6646.056	6252.869
455.09	10176.593	9891.055	6282.55	6231.626	6674.55	6274.209
455.25	10259.611	9973.018	6337.292	6293.468	6734.699	6323.183
455.41	10351.114	10059.554	6379.356	6347.817	6799.048	6373.609
455.57	10406.662	10108.157	6406.541	6375.025	6840.124	6407.684
455.73	10409.197	10107.702	6390.889	6374.56	6832.56	6395.691
455.89	10445.169	10129.784	6415.07	6393.048	6862.586	6413.795
456.05	10594.272	10275.592	6500.668	6473.13	6958.207	6501.69
456.21	10635.09	10315.75	6527.321	6501.651	6986.135	6534.047
456.37	10655.809	10338.27	6536.05	6509.435	7000.226	6549.732
456.53	10750.496	10416.386	6601.804	6572.749	7062.287	6613.628
456.69	10790.104	10450.28	6623.928	6595.335	7083.84	6626.137
456.85	10780.912	10442.846	6626.681	6582.505	7080	6624.219
457.01	10813.616	10483.022	6648.099	6605.132	7099.967	6643.627
457.17	10694.681	10374.505	6583.835	6542.032	7027.967	6579.571
457.33	10672.894	10363.355	6568.3	6527.267	7017.004	6561.586
457.49	10636.543	10325.555	6556.686	6510.049	6993.39	6547.587
457.65	10499.691	10194.065	6462.043	6419.252	6894.878	6450.362
457.81	10448.49	10150.38	6440.149	6403.05	6874.303	6439.446
457.97	10518.441	10229.034	6487.782	6455.364	6925.012	6491.705
458.13	10530.022	10236.22	6502.165	6466.693	6927.396	6500.671
458.29	10571.643	10268.655	6512.369	6481.534	6943.402	6512.82
458.45	10689.199	10383.089	6586.968	6562.704	7022.177	6590.397
458.61	10748.476	10441.355	6619.179	6603.333	7069.069	6626.179
458.77	10817.562	10525.299	6672.431	6656.738	7126.233	6685.178
458.93	10788.551	10493.737	6650.55	6631.583	7099.913	6655.924
459.09	10735.656	10429.326	6618.084	6601.821	7063.843	6609.557
459.25	10651.815	10346.452	6559.837	6544.562	7017.815	6555.013
459.41	10656.39	10345.005	6572.796	6551.434	7026.159	6565.5
459.57	10625.761	10310.904	6551.41	6522.728	7009.608	6541.662
459.73	10606.611	10290.171	6538.314	6508.249	6993.391	6532.029
459.89	10683.091	10362.388	6590.366	6552.806	7044.96	6576.399
460.05	10844.171	10512.786	6692.226	6659.786	7149.5	6678.687
460.21	11030.145	10696.915	6808.322	6776.08	7286.388	6795.981
460.37	11193.142	10853.142	6909.812	6884.45	7393.724	6898.472
460.53	11284.84	10946.862	6966.444	6938.159	7456.202	6956.345
460.69	11333.021	10992.011	6997.692	6971.758	7473.78	6997.911
460.85	11453.808	11098.511	7065.215	7043.083	7549.655	7061.798
461.01	11544.234	11176.542	7112.246	7096.465	7602.136	7115.894
461.17	11526.65	11168.013	7107.639	7086.299	7601.354	7106.068
461.33	11511.458	11145.348	7093.93	7072.744	7582.59	7100.7
461.49	11619.459	11242.668	7156.36	7130.272	7649.371	7169.822
461.65	11693.886	11316.656	7207.04	7180.447	7702.205	7223.568
461.81	11742.259	11359.754	7239.82	7210.391	7742.457	7248.358
461.96	11774.687	11396.929	7267.358	7234.962	7769.468	7279.446
462.12	11792.036	11408.519	7273.816	7240.651	7779.97	7289.388
462.28	11905.939	11512.313	7343.752	7309.247	7853.994	7366.697
462.44	11960.541	11575.969	7385.661	7346.87	7899.771	7403.167
462.6	11947.981	11576.377	7386.102	7350.015	7907.421	7402.19
462.76	11963.542	11591.41	7393.19	7362.267	7924.838	7409.904
462.92	11944.001	11575.825	7376.539	7350.605	7918.649	7400.495
463.08	11965.951	11600.457	7391.424	7360.984	7936.874	7414.643
463.24	11959.679	11590.844	7403.162	7360.129	7940.217	7415.777
463.4	11920.055	11564.539	7382.407	7340.187	7918.231	7392.967
463.56	11884.55	11510.792	7351.066	7324.825	7882.011	7368.869
463.72	11907.775	11526.237	7356.5	7329.621	7886.962	7383.017
463.88	11908.094	11517.853	7358.435	7332.413	7878.391	7380.105
464.04	12019.115	11611.159	7423.005	7394.5	7947.797	7441.917
464.2	12031.221	11613.595	7432.507	7407.891	7959.496	7453.078
464.36	12015.375	11616.561	7412.935	7413.045	7956.76	7442.88
464.52	12039.143	11621.429	7429.66	7424.736	7971.374	7455.682
464.68	12115.921	11708.493	7482.976	7467.57	8033.218	7501.888
464.84	12197.507	11782.782	7534.792	7525.518	8087.364	7542.485
465	12317.254	11903.188	7608.529	7595.54	8164.265	7617.199
465.16	12382.78	11967.879	7659.846	7644.945	8215.714	7662.571
465.32	12464.984	12058.171	7715.512	7695.05	8270.676	7710.819
465.48	12583.991	12169.485	7795.343	7763.475	8350.64	7796.09
465.64	12607.231	12195.011	7797.583	7778.747	8352.396	7800.275
465.8	12609.29	12192.894	7804.905	7787.499	8361.081	7813.037
465.96	12535.888	12123.36	7759.338	7740.986	8316.173	7774.997
466.12	12536.534	12118.117	7764.809	7748.105	8326.084	7780.633
466.27	12435.086	12023.789	7705.657	7685.02	8260.339	7718.415
466.43	12579.963	12152.095	7797.776	7776.765	8351.271	7805.073
466.59	12523.087	12090.032	7759.021	7734.779	8304.56	7758.065
466.75	12639.57	12202.295	7835.801	7802.306	8395.625	7837.779
466.91	12766.508	12320.662	7903.277	7871.563	8468.64	7909.881
467.07	12945.763	12494.598	8011.839	7980.323	8587.664	8021.422
467.23	13056.985	12601.161	8072.612	8046.656	8654.106	8090.381
467.39	13273.413	12798.028	8199.05	8179.621	8785.292	8221.599
467.55	13263.206	12787.382	8188.37	8174.722	8783.052	8214.974
467.71	13477.639	12998.958	8328.903	8315.672	8933.651	8350.046
467.87	13662.308	13176.989	8446.418	8428.33	9051.736	8468.099
468.03	13890.676	13392.214	8584.445	8562.555	9208.269	8605.148
468.19	14000.276	13501.507	8655.683	8643.88	9281.573	8674.199
468.35	14090.304	13596.766	8724.074	8707.062	9351.106	8730.711
468.51	14119.069	13640.035	8739.399	8729.618	9384.322	8750.882
468.67	14212.794	13729.937	8790.564	8781.376	9443.574	8816.102
468.83	14415.098	13930.263	8920.879	8902.791	9574.462	8939.483
468.99	14387.534	13905.512	8900.248	8895.677	9559.193	8919.94
469.15	14361.596	13878.607	8888.343	8881.508	9540.431	8904.222
469.3	14327.631	13849.17	8880.741	8853.928	9521.488	8884.17
469.46	14253.284	13769.548	8817.526	8797.065	9468.91	8827.91
469.62	14241.372	13749.416	8819.361	8785.779	9454.13	8817.998
469.78	14217.562	13739.672	8810.771	8774.574	9451.606	8801.2
469.94	14085.722	13601.062	8717.996	8693.249	9369.249	8720.678
470.1	14126.698	13648.236	8747.686	8719.357	9403.115	8748.093
470.26	14198.325	13710.325	8788.886	8764.534	9449.018	8785.853
470.42	14296.553	13808.509	8847.3	8829.872	9525.718	8853.641
470.58	14488.109	13990.571	8970.845	8960.296	9661.79	8974.274
470.74	14706.383	14190.823	9099.416	9090.339	9806.185	9104.394
470.9	14976.03	14437.788	9270.106	9254.194	9974.37	9265.711
471.06	15237.768	14674.164	9425.966	9408.053	10148.911	9421.405
471.22	15474.334	14884.839	9567.795	9548.543	10297.554	9564.103
471.38	15675.364	15085.782	9707.562	9680.814	10441.891	9697.858
471.54	15999.899	15376.119	9887.558	9868.349	10643.339	9879.954
471.69	16212.615	15585.099	10013.252	9993.714	10773.56	10012.34
471.85	16243.86	15622.717	10031.08	10017.585	10792.31	10035.695
472.01	16251.066	15641.923	10028.275	10032.252	10799.044	10042.308
472.17	16311.17	15701.28	10063.752	10069.29	10824.192	10073.95
472.33	16257.561	15653.122	10026.287	10026.792	10785.979	10030.034
472.49	16244.141	15638.778	10006.394	10017.118	10767.932	10020.064
472.65	16157.63	15569.41	9952.025	9967.08	10714.531	9968.476
472.81	16162.053	15564.383	9949.229	9967.119	10711.998	9965.536
472.97	16254.298	15658.825	10003.815	10024.892	10778.804	10026.112
473.13	16314.963	15714.568	10046.227	10058.227	10826.534	10070.93
473.29	16355.545	15768.248	10070.248	10091.501	10867.698	10100.281
473.45	16474.284	15880.217	10150.206	10174.646	10958.558	10183.173
473.61	16602.734	16007.129	10226.184	10256.14	11046.228	10261.844
473.76	16859.285	16244.954	10390.372	10410.46	11208.834	10422.24
473.92	17016.584	16394.342	10486.408	10511.617	11316.607	10514.991
474.08	17172.955	16542.14	10582.855	10606.24	11424.789	10612.042
474.24	17381.498	16728.488	10698.443	10730.202	11547.322	10738.366
474.4	17540.336	16874.49	10794.72	10831.468	11657.27	10843.952
474.56	17757.326	17074.25	10917.612	10963.568	11791.503	10976.393
474.72	17850.048	17151.105	10977.577	11011.027	11856.126	11030.939
474.88	17829.605	17134.001	10966.726	11003.363	11848.616	11024.627
475.04	17920.752	17227.565	11040.104	11055.181	11917.686	11095.576
475.2	18004.498	17304.543	11088.873	11108.587	11974.939	11147.609
475.36	18023.049	17313.467	11105.125	11120.466	11995.411	11153.125
475.51	18048.166	17335.505	11117.155	11126.012	12003.352	11165.034
475.67	18046.144	17335.462	11123.298	11125.452	12002.595	11168.177
475.83	18118.112	17411.124	11173.431	11179.035	12050.222	11212.431
475.99	18271.716	17557.517	11271.727	11281.88	12163.683	11305.793
476.15	18375.166	17665.408	11326.132	11344.836	12238.44	11372.385
476.31	18614.953	17890.559	11475.756	11487.316	12394.568	11514.349
476.47	18933.152	18206.691	11669.131	11685.769	12608.34	11717.142
476.63	19293.537	18548.613	11911.218	11918.866	12856.889	11945.592
476.79	19595.097	18842.57	12084.218	12100.02	13063.25	12123.086
476.95	19877.785	19106.752	12252.697	12272.169	13247.73	12295.378
477.11	20078.924	19302.836	12362.022	12388.637	13371.824	12424.407
477.26	20308.608	19507.817	12499.082	12532.576	13507.697	12550.071
477.42	20438.387	19618.915	12574.277	12608.321	13592.474	12623.386
477.58	20426.823	19603.877	12570.087	12602.395	13588.46	12610.922
477.74	20409.182	19592.567	12547.006	12587.029	13564.853	12592.688
477.9	20378.228	19566.624	12534.196	12568.965	13543.954	12577.229
478.06	20357.681	19558.076	12524.209	12563	13540.209	12569.89
478.22	20432.67	19622.824	12579.231	12616.33	13592.637	12603.89
478.38	20511.175	19702.736	12628.163	12671.922	13651.856	12654.065
478.54	20633.217	19836.69	12703.558	12756.041	13732.305	12740.261
478.69	20795.545	19986.094	12799.479	12849.435	13834.6	12837.556
478.85	20968.15	20142.083	12911.062	12950.579	13953.304	12943.941
479.01	21257.255	20404.683	13085.76	13125.078	14139.386	13108.848
479.17	21440.748	20572.748	13196.055	13227.571	14250.78	13218.033
479.33	21543.773	20667.597	13249.861	13282.63	14313.465	13293.872
479.49	21602.053	20717.92	13285.58	13312.129	14354.372	13333.228
479.65	21619.225	20730.477	13301.796	13323.092	14370.588	13341.5
479.81	21700.949	20812.773	13349.18	13384.917	14425.664	13396.17
479.97	21714.294	20838.075	13347.987	13394.295	14443.459	13403.998
480.13	21736.672	20861.902	13366.969	13406.837	14456.859	13429.606
480.28	21855.631	20973.61	13428.313	13473.698	14533.325	13502.698
480.44	21994.132	21112.022	13523.241	13572.032	14638.889	13574.406
480.6	22155.828	21278.773	13625.388	13669.014	14748.773	13676.344
480.76	22332.32	21449.023	13720.946	13778.924	14860.331	13783.715
480.92	22488.46	21603.098	13822.284	13875.01	14954.636	13869.988
481.08	22696.266	21798.069	13945.639	14003.837	15095.222	14005.419
481.24	22757.368	21869.85	13986.884	14046.686	15149.433	14049.884
481.4	22828.178	21944.266	14039.091	14100.014	15207.75	14097.332
481.55	22824.234	21951.619	14033.135	14091.091	15206.234	14104.091
481.71	22855.401	21962.786	14047.5	14099.192	15224.159	14115.763
481.87	22843.653	21945.586	14035.983	14082.862	15211.719	14092.081
482.03	22842.136	21941.214	14027.862	14072.478	15222.675	14096.478
482.19	22808.805	21901.068	14006.98	14049.376	15181.442	14070.288
482.35	22923.992	21996.344	14064.047	14117.585	15249.014	14126.684
482.51	23010.003	22085.343	14112.134	14173.914	15307.65	14180.277
482.67	23130.494	22175.021	14192.175	14240.615	15375.648	14245.934
482.82	23133.474	22164.64	14191.21	14243.936	15369.277	14233.771
482.98	23172.484	22213.453	14230.87	14273.595	15404.804	14282.079
483.14	23191.673	22223.015	14234.904	14288.861	15413.366	14285.553
483.3	23252.447	22274.82	14282.831	14333.336	15467.314	14319.622
483.46	23208.694	22235.903	14260.76	14307.684	15451.661	14299.013
483.62	23175.877	22186.469	14233.163	14281.338	15424.679	14267.888
483.78	23163.6	22177.885	14219.665	14275.819	15417.248	14258.49
483.94	23244.28	22272.059	14272.994	14331.192	15485.213	14339.456
484.09	23320.831	22331.073	14309.161	14373.096	15529.161	14376.073
484.25	23342.703	22342.572	14331.286	14385.307	15539.418	14388.956
484.41	23219.951	22239.204	14247.797	14311.028	15459.621	14315.061
484.57	23095.048	22116.235	14175.103	14238.092	15354.224	14232.466
484.73	22821.016	21872.401	14019.984	14070.291	15173.039	14078.149
484.89	22368.181	21445.324	13738.609	13795.004	14879.444	13803.092
485.05	21821.744	20922.314	13406.864	13463.502	14513.722	13454.523
485.2	21257.797	20381.006	13068.182	13135.215	14152.709	13116.797
485.36	20713.221	19853.748	12730.253	12794.319	13799.396	12788.726
485.52	20325.865	19479.755	12493.568	12554.448	13546.272	12557.612
485.68	20010.638	19172.572	12295.099	12357.583	13350.879	12372.605
485.84	19872.335	19040.687	12219.775	12283.335	13266.236	12288.17
486	20059.593	19227.899	12346.164	12394.537	13390.164	12416.724
486.16	20394.77	19540	12556.055	12603.088	13616.318	12637.197
