Lon	O-P-1210	O-H-1209	I-P-1220	I-H-1212	I-P-1213	I-H-1219
255.07	44.33	47.539	29.495	25.385	22.242	25.857
255.24	43.464	44.914	29.892	26.596	21.98	25.76
255.4	42.437	46.701	30.723	25.734	23.075	25.152
255.57	37.587	39.961	29.026	27.224	21.51	22.917
255.74	30.313	38.84	24.576	17.917	22.027	17.774
255.91	32.393	37.755	24.975	17.81	23.393	16.711
256.08	36.22	38.989	24.198	17.363	26.528	19.33
256.24	39.357	39.972	27.675	20.203	30.049	21.038
256.41	37.872	38.707	22.201	16.729	28.003	17.245
256.58	37.435	35.369	22.501	16.303	22.852	14.808
256.75	37.931	39.778	20.767	15.602	22.481	17.92
256.92	45.483	41	26.989	25.758	25.187	25.011
257.08	39.494	40.373	20.835	23.362	22.681	21.681
257.25	34.317	35.768	19.779	24.131	20.087	17.889
257.42	26.847	30.583	10.913	17.308	9.198	13.429
257.59	26.655	27.974	13.655	19.018	10.622	19.018
257.75	30.477	32.411	13.751	20.059	15.729	22.114
257.92	29.004	29.136	14.554	21.147	17.499	21.367
258.09	26.446	29.215	11.786	14.622	16.402	15.446
258.26	27.27	28.369	13.918	13.259	14.358	15.588
258.43	31.883	33.465	12.564	12.454	15.421	16.135
258.59	32.577	30.599	15.533	14.61	20.324	14.83
258.76	33.505	30.472	10.889	13.373	19.637	8.351
258.93	34.269	32.247	13.533	17.884	20.566	12.126
259.1	36.01	31.043	9.527	10.779	16.735	9.23
259.27	37.363	30.33	8.759	14.825	16.627	12.319
259.43	42.287	37.364	10.617	20.793	19.628	16.342
259.6	41.795	37.619	14.333	26.113	23.696	17.981
259.77	48.086	42.9	17.998	28.394	26.218	19.108
259.94	54.204	46.819	26.655	36.193	31.006	28.105
260.11	49.559	42.701	25.273	29.471	26.328	22.075
260.27	49.405	45.361	29.108	32.712	28.581	24.273
260.44	47.6	46.062	29.205	29.71	23.314	21.172
260.61	42.711	37.656	30.546	24.524	21.184	20.612
260.78	42.553	37.762	25.652	17.234	19.498	17.927
260.94	39.862	34.631	27.434	17.675	18.335	20.005
261.11	33.17	34.709	21.28	13.478	13.676	13.73
261.28	34.882	33.167	16.783	17.178	11.596	15.332
261.45	36.362	34.252	16.736	20.054	13.351	14.769
261.62	38.379	31.566	17.159	25.335	16.544	16.017
261.78	44.693	37.397	16.056	27.594	20.364	16.99
261.95	47.344	36.707	22.52	32.498	20.85	18.08
262.12	42.843	32.821	15.656	27.37	18.953	15.491
262.29	43.492	33.338	18.58	26.932	20.998	16.646
262.45	46.534	37.567	24.314	24.82	27.655	13.512
262.62	47.58	38.437	24.162	26.272	29.349	14.536
262.79	46.726	40.132	18.748	22.858	27.759	13.704
262.96	44.004	40.927	20.807	25.774	25.642	10.829
263.13	39.618	41.157	18.497	23.618	24.827	10.332
263.29	43.413	41.699	22.545	27.072	24.303	11.995
263.46	42.864	41.59	19.59	24.183	21.216	9.051
263.63	42.788	37.997	15.942	25.26	19.063	11.81
263.8	38.038	34.125	11.994	21.158	15.774	8.796
263.96	36.482	32.922	18.076	22.911	17.9	8.23
264.13	41.333	35.355	19.729	23.135	24.784	14.289
264.3	48.667	35.832	21.865	28.986	27.272	18.173
264.47	48.87	44.255	23.398	29.969	29.42	17.519
264.63	46.231	40.693	24.616	32.879	32	21.231
264.8	42.336	44.226	24.336	30.819	32.6	21.402
264.97	43.361	43.097	27.24	30.361	30.185	22.932
265.14	39.976	43.053	22.987	21.558	25.273	22.031
265.31	37.26	38.534	22.282	20.875	22.282	18.413
265.47	32.648	42.758	19.395	17.483	21.021	15.933
265.64	32.628	37.552	18.53	19.936	22.574	16.727
265.81	37.96	39.015	18.949	19.762	19.96	15.443
265.98	40.236	36.72	22.709	20.467	16.379	15.808
266.14	38.128	33.468	19.337	17.381	16.128	10.381
266.31	42.483	32.33	19.593	24.341	18.714	12.384
266.48	38.345	30.608	15.773	20.454	13.795	11.389
266.65	35.045	21.682	17.385	22.176	10.748	11.847
266.81	29.405	16.306	8.416	14.416	3.185	6.053
266.98	31.679	18.448	15.075	18.503	10.679	12.086
267.15	35.414	20.205	17.018	17.26	15.392	13.996
267.32	37.908	24.281	20.072	21.215	15.721	17.039
267.48	43.201	29.047	23.091	20.432	17.729	18.399
267.65	41.609	25.917	22.324	19.686	16.873	14.28
267.82	40.001	28.528	18.88	14.286	17.21	11.726
267.99	41.18	27.905	23.741	16.971	19.521	15.96
268.15	37.15	27.172	14.49	8.93	14.007	7.336
268.32	32.671	25.418	12.945	11.231	12.198	7.011
268.49	33.199	29.683	12.913	8.452	18.935	8.265
268.66	29.695	26.882	14.321	11.332	20.387	8.783
268.82	32.889	35.527	17.263	12.713	23.549	14.373
268.99	36.706	36.618	21.024	14.255	23.662	15.046
269.16	39.502	45.26	25.458	12.821	27.172	13.689
269.33	39.069	43.421	30.069	17.454	29.805	16.575
269.49	38.384	43.571	26.143	16.89	29.219	14.241
269.66	39.916	38.026	27.708	20.059	29.026	14.872
269.83	37.626	38.242	26.879	19.912	29.868	11.374
270	34.623	32.117	24.92	19.249	29.227	8.612
270.16	36.63	36.058	25.926	22.608	30.63	11.124
270.33	41.362	36.483	30.032	32.494	30.824	18.648
270.5	39.435	37.193	27.897	27.655	29.787	15.951
270.67	40.996	37.568	23.469	28.656	29.227	18.81
270.83	41.146	40.091	22.663	28.267	26.443	13.97
271	41.564	40.157	21.706	29.443	23.772	16.783
271.17	44.015	44.19	23.553	28.894	25.135	19.081
271.34	43.748	42.034	20.726	27.276	23.979	18.88
271.5	40.795	39.301	11.103	18.07	23.499	12.301
271.67	41.296	38.131	11.021	24.164	19.065	17.702
271.84	40.512	38.314	17.897	22.358	18.644	12.106
272.01	39.741	39.477	19.972	23.313	19.137	16.368
272.17	44.054	44.758	24.384	20.802	24.868	16.922
272.34	44.845	43.175	27.845	28.153	24.68	21.515
272.51	45.595	41.771	28.562	28.276	23.903	19.078
272.68	46.958	42.035	33.827	32.816	25.387	20.991
272.84	46.591	43.206	33.382	28.613	26.261	15.898
273.01	49.071	44.939	36.379	32.642	29.522	22.84
273.18	47.402	47.05	34.369	28.237	27.732	24.094
273.35	42.431	39.75	32.596	27.233	21.651	22.618
273.51	42.528	41.605	27.825	20.682	21.143	14.341
273.68	38.251	37.064	27.317	19.404	18.218	13.646
273.85	35.894	36.07	23.168	12.553	15.74	9.729
274.02	39.281	34.05	24.918	15.907	17.621	11.468
274.18	37.724	28.801	18.01	7.966	11.944	3.867
274.35	40.483	27.516	18.78	15.22	14.868	4.934
274.52	40.688	31.457	15.172	15.062	14.864	2.303
274.69	39.376	28.212	16.882	13.717	12.706	0.97
274.85	38.091	32.157	11.519	9.607	13.541	-0.689
275.02	42.153	28.394	15.482	14.295	17.592	4.185
275.19	37.058	27.168	10.486	9.278	14.442	2.981
275.35	35.846	32.286	17.615	13.791	17.879	8.692
275.52	32.078	31.947	15.837	8.078	12.276	5.87
275.69	30.53	28.948	16.299	7.508	13.179	7.948
