  Dias      DR UVA      DR Erythermal
 170329   7.2296271       3.6752515    
 170402   8.5560627       5.3135095    
 170403   11.184523       12.351490    
 171026   28.404945       21.855494    
 171104   7.6743035      0.48764563    
 171107   10.351114       4.6501455    
 171111   16.801039       10.105090    
 171122   17.219278       9.0832357    
 171126   9.4893284       3.3359814    
 171127   11.929766       5.9401503    
 180113   17.806860       13.888749    
 180114   15.652919       12.677203    
 180216   28.956890       27.923944    
 180218   18.969158       18.037766    
 180304   16.182119       11.499149    
 180310   25.724524       25.761732    
 180402   11.357347       10.007205    
