Date,AOD 340,AOD 500
180601,0.3559,0.2002
180602,0.3561,0
180603,0.1937,0
180604,0.1601,0
180605,0.4438,0
180606,0.9124,0
180607,1.0232,0
180608,0.711,0
180609,0.7617,0
180610,0.6721,0
180611,0.6442,0
180612,1.4323,1.195
180628,0.4316,0
180629,0.4534,0
180630,0.5622,0
180701,0.2587,0
180702,0.9865,0
180703,0.4726,0
180704,0.7208,0
180705,0.2404,0
180706,0.3706,0
180707,0.3149,0
180708,0.6491,0
180709,0.7089,0
180710,0.31,0
180711,0.9728,0
180712,0.4846,0
180713,0.7209,0
180715,1.0851,0
180716,0.914,0
180717,0.5363,0
180718,0.573,0
180719,0.728,0.4088
180720,0.3313,0.21
180721,0.2553,0.1916
180722,0.3529,0.2067
