Date,Ozono
20180204,256.3
20180205,252.56
20180206,257.21
20180207,252.56
20180208,242.38
20180209,252.56
20180210,239.99
20180211,242.85
20180212,252.56
20180213,245.65
20180214,252.56
20180215,249.83
20180216,248.89
20180217,259.21
20180218,257.4
20180219,252.56
20180220,243.48
20180221,252.56
20180222,256.77
20180223,252.56
20180224,256.81
20180225,263.55
20180226,256.9
20180227,257.56
20180228,252.56
20180301,264.3
20180302,267.27
20180303,266.45
20180304,262.5
20180305,262.09
20180306,265.91
20180307,269.16
20180308,262.43
20180309,267.27
20180310,259.08
20180311,267.27
20180312,261.34
20180313,267.27
20180314,266.89
20180315,257.82
20180316,267.27
20180317,261.4
20180318,267.27
20180319,266.62
20180320,270.51
20180321,268.39
20180322,271.21
20180323,267.27
20180324,268.98
20180325,267.27
20180326,275.51
20180327,267.27
20180328,283.18
20180329,275.07
20180330,273.94
20180331,267.14
20180401,272.64
20180402,270.63
20180403,272.64
20180404,261.75
20180405,277.64
20180406,265.45
20180407,284.22
20180408,272.64
20180409,276.07
20180410,272.64
20180411,273.11
20180412,269.47
20180413,272.72
20180414,272.64
20180415,273.91
20180416,271.96
20180417,271.8
20180418,274.3
20180419,272.64
20180420,279.23
20180421,275.99
20180422,273.91
20180423,264.8
20180424,267.62
20180425,279.59
20180426,272.64
20180427,278.66
20180428,273.67
20180429,278.62
20180430,265.13
20180501,263.14
20180502,266.97
20180503,271.09
20180504,270.21
20180505,272.44
20180506,274.16
20180507,267.79
20180508,274.08
20180509,292.48
20180510,290.46
20180511,274.63
20180512,272.44
20180513,275.71
20180514,274.37
20180515,271.33
20180516,272.44
20180517,265.12
20180518,268.72
20180519,266.36
20180520,268.24
20180521,272.44
20180522,265.89
20180523,271.8
20180524,267.88
20180525,270.08
20180526,268.96
20180527,272.24
20180528,272.44
20180529,275.76
20180530,274.66
20180531,278.99
20180601,274.74
20180602,281.46
20180603,276.87
20180604,279.08
20180605,279.11
20180606,276.07
20180607,267.04
20180608,268.2
20180609,267.98
20180610,272.9
20180611,268.38
20180612,262.22
20180613,276.07
20180614,259.03
20180615,265.18
20180616,269.06
20180617,276.07
20180618,275.32
20180619,269.53
20180620,277.08
20180621,278.3
20180622,276.07
20180623,285.48
20180624,289.41
20180625,280.9
20180626,279.18
20180627,284.51
20180628,279.05
20180629,276.07
20180630,283.05
20180701,304.69
20180702,289.3
20180703,287.77
20180704,290.89
20180705,293.06
20180706,295.07
20180707,290.51
20180708,284.98
20180709,289.93
20180710,291.41
20180711,295.26
20180712,278.65
20180713,274.03
20180714,267.8
20180715,284.98
20180716,283.74
20180717,285.85
20180718,284.11
20180719,284.98
20180720,282.41
20180721,281.45
20180722,281.31
20180723,278.4
20180724,284.98
20180725,279.03
20180726,289.31
20180727,276.65
20180728,285.04
20180729,274.87
20180730,282.68
20180731,284.98
20180801,281.36
20180802,295.11
20180803,278.19
