Date,AOD,RD, Difference
171026,0.395,9.9,5.52
171028,0.375,9.56,9.12
171104,0.155,9.44,9.3
171111,0.175,9.59,9.59
171113,0.045,9.99,9.99
171122,0.145,9.8,9.8
171123,0.245,9.29,9.21
171127,0.205,9.69,9.69
171128,0.295,9.16,9.16
171201,0.285,9.83,9.67
171206,0.305,9.04,8.99
171213,0.395,9.4,9.4
180107,0.235,9.75,9.75
