  Dias      DR UVA      DR Erythermal
 170619   19.821554       34.458004    
 170624   21.340305       28.957138    
 170730   23.816439       32.884834    
 170912   16.411692       25.714457    
 170915   19.375326       28.291548    
 171111   23.007729       26.151613    
 180516   21.715109       32.916882    
 180519   19.755747       26.905167    
 180521   19.320414       31.187222    
 180526   16.843439       26.362822    
 180527   14.103312       21.608757    
 180528   13.224260       17.892166    
 180529   16.420057       20.497261    
 180531   23.189219       27.013762    
 180605   18.428112       25.149769    
